GeographyCode,DC2211NI0001,DC2211NI0002,DC2211NI0003,DC2211NI0004,DC2211NI0005,DC2211NI0006,DC2211NI0007,DC2211NI0008,DC2211NI0009,DC2211NI0010,DC2211NI0011,DC2211NI0012,DC2211NI0013,DC2211NI0014,DC2211NI0015,DC2211NI0016,DC2211NI0017,DC2211NI0018,DC2211NI0019,DC2211NI0020,DC2211NI0021,DC2211NI0022,DC2211NI0023,DC2211NI0024,DC2211NI0025,DC2211NI0026,DC2211NI0027,DC2211NI0028,DC2211NI0029,DC2211NI0030,DC2211NI0031,DC2211NI0032,DC2211NI0033,DC2211NI0034,DC2211NI0035,DC2211NI0036,DC2211NI0037,DC2211NI0038,DC2211NI0039,DC2211NI0040,DC2211NI0041,DC2211NI0042,DC2211NI0043,DC2211NI0044,DC2211NI0045,DC2211NI0046,DC2211NI0047,DC2211NI0048,DC2211NI0049,DC2211NI0050,DC2211NI0051,DC2211NI0052,DC2211NI0053,DC2211NI0054,DC2211NI0055,DC2211NI0056,DC2211NI0057,DC2211NI0058,DC2211NI0059,DC2211NI0060,DC2211NI0061,DC2211NI0062,DC2211NI0063,DC2211NI0064,DC2211NI0065,DC2211NI0066,DC2211NI0067,DC2211NI0068,DC2211NI0069,DC2211NI0070,DC2211NI0071,DC2211NI0072,DC2211NI0073,DC2211NI0074,DC2211NI0075,DC2211NI0076,DC2211NI0077,DC2211NI0078,DC2211NI0079,DC2211NI0080,DC2211NI0081,DC2211NI0082,DC2211NI0083,DC2211NI0084,DC2211NI0085,DC2211NI0086,DC2211NI0087,DC2211NI0088,DC2211NI0089,DC2211NI0090,DC2211NI0091,DC2211NI0092,DC2211NI0093,DC2211NI0094,DC2211NI0095,DC2211NI0096,DC2211NI0097,DC2211NI0098,DC2211NI0099,DC2211NI0100,DC2211NI0101,DC2211NI0102,DC2211NI0103,DC2211NI0104
WELB,282102,9705,869,616,1888,1482,14560,267542,87169,5704,514,409,925,921,8473,78696,123148,2270,155,114,474,329,3342,119806,81005,2874,289,192,605,492,4452,76553,2610,69,3,6,11,6,95,2515,1343,111,19,16,51,26,223,1120,218,9,0,1,1,2,13,205,632,18,2,1,0,3,24,608,3601,39,26,10,30,13,118,3483,2153,31,17,10,20,11,89,2064,550,2,8,0,6,1,17,533,898,6,1,0,4,1,12,886,2100,36,7,14,42,20,119,1981
UKN01,269804,9272,739,499,1918,1753,14181,255623,116881,5473,423,280,1095,1015,8286,108595,93453,1990,146,122,367,421,3046,90407,72323,3228,253,224,531,684,4920,67403,2487,56,6,0,18,19,99,2388,1454,171,13,23,76,58,341,1113,272,8,0,0,8,2,18,254,1493,42,3,0,7,11,63,1430,5327,185,37,14,49,16,301,5026,3771,136,29,12,34,13,224,3547,248,10,3,0,1,0,14,234,1308,39,5,2,14,3,63,1245,6676,156,28,12,65,52,313,6363
UKN02,374966,19802,1462,1163,3210,3085,28722,346244,244866,14821,1030,859,2310,2268,21288,223578,57196,1894,134,124,255,358,2765,54431,114314,6896,538,508,986,1247,10175,104139,4639,131,3,8,19,23,184,4455,2462,288,38,33,107,72,538,1924,485,20,2,3,2,3,30,455,983,20,0,0,6,3,29,954,3183,110,27,8,28,10,183,3000,2146,82,19,5,15,4,125,2021,403,10,3,0,11,2,26,377,634,18,5,3,2,4,32,602,4456,143,14,15,71,49,292,4164
UKN03,420580,30379,3684,2996,4982,4234,46275,374305,246541,22634,2758,2276,3580,3172,34420,212121,77151,2691,294,226,400,426,4037,73114,128632,9756,1219,1148,1552,1553,15228,113404,4654,156,11,11,42,40,260,4394,2319,316,44,43,119,80,602,1717,447,21,2,3,7,3,36,411,1577,43,3,2,11,13,72,1505,8318,269,70,20,76,28,463,7855,4530,157,36,13,48,20,274,4256,1699,31,13,3,18,4,69,1630,2089,81,21,4,10,4,120,1969,3517,135,28,19,83,45,310,3207
UKN04,277050,19399,3308,2192,3777,2564,31240,245810,111118,12799,2357,1617,2392,1726,20891,90227,100512,3002,289,192,562,405,4450,96062,79896,6077,1171,770,1300,911,10229,69667,2731,150,16,7,22,15,210,2521,1656,176,38,29,85,56,384,1272,262,17,2,0,3,2,24,238,588,26,1,1,0,3,31,557,2593,67,23,5,37,9,141,2452,2038,56,21,5,31,6,119,1919,140,0,1,0,2,2,5,135,415,11,1,0,4,1,17,398,2206,75,26,15,63,24,203,2003
UKN05,393311,13188,1072,951,2486,2089,19786,373525,124911,8413,639,648,1293,1373,12366,112545,160920,2533,183,162,565,384,3827,157093,114082,3878,348,319,788,667,6000,108082,3200,93,6,10,26,8,143,3057,1369,158,14,14,50,22,258,1111,268,7,0,2,2,2,13,255,1837,36,10,5,19,6,76,1761,12503,132,56,18,72,28,306,12197,5673,70,29,10,37,12,158,5515,4046,37,17,4,25,11,94,3952,2784,25,10,4,10,5,54,2730,2925,76,6,24,60,31,197,2728
95AA,51042,3391,304,262,511,418,4886,46156,28325,2476,234,206,348,321,3585,24740,10191,354,23,22,45,33,477,9714,15457,1134,102,87,150,150,1623,13834,779,18,5,3,4,3,33,746,331,38,4,4,13,6,65,266,69,1,0,1,1,1,4,65,129,6,0,0,0,0,6,123,1239,42,12,5,15,3,77,1162,593,22,9,2,13,2,48,545,290,4,1,2,1,1,9,281,356,16,2,1,1,0,20,336,580,23,1,1,11,8,44,536
95BB,75313,6640,802,659,945,945,9991,65322,55538,5058,596,493,694,715,7556,47982,5662,467,64,43,69,79,722,4940,23852,2393,281,280,329,380,3663,20189,900,25,3,1,8,14,51,849,464,78,11,10,25,23,147,317,107,4,0,0,1,1,6,101,134,2,0,0,0,2,4,130,491,13,6,1,4,1,25,466,176,8,3,1,0,0,12,164,157,2,1,0,4,1,8,149,158,3,2,0,0,0,5,153,511,28,12,0,18,6,64,447
95CC,56792,2225,156,157,370,405,3313,53479,25300,1605,103,121,214,298,2341,22959,18293,258,22,15,76,49,420,17873,15372,661,52,57,103,133,1006,14366,430,12,0,1,2,1,16,414,189,28,0,2,9,5,44,145,52,2,0,1,1,2,6,46,122,3,0,0,1,0,4,118,1676,17,11,2,8,0,38,1638,540,10,6,0,3,0,19,521,715,5,2,0,4,0,11,704,421,2,3,2,1,0,8,413,381,15,1,6,4,1,27,354
95DD,61601,8542,1365,1131,1458,1146,13642,47959,42641,6745,1088,902,1138,893,10766,31875,6772,532,74,56,60,76,798,5974,17080,2460,431,417,466,404,4178,12902,487,29,0,6,6,3,44,443,340,56,10,9,18,14,107,233,39,3,0,2,1,0,6,33,91,8,1,0,0,1,10,81,1739,85,14,4,20,11,134,1605,925,41,10,3,15,9,78,847,50,1,0,0,2,0,3,47,764,43,4,1,3,2,53,711,442,23,6,11,18,10,68,374
95EE,29937,4959,1384,851,1054,563,8811,21126,18161,3618,1066,650,769,417,6520,11641,4901,432,80,45,84,52,693,4208,9213,1522,503,321,382,199,2927,6286,335,32,8,0,5,2,47,288,165,24,3,9,17,13,66,99,32,1,2,0,1,0,4,28,24,1,0,0,0,0,1,23,325,13,2,0,6,0,21,304,260,10,2,0,4,0,16,244,6,0,0,0,0,0,0,6,59,3,0,0,2,0,5,54,140,15,9,6,23,1,54,86
95FF,46112,2439,181,192,424,389,3625,42487,28331,1894,146,148,295,310,2793,25538,7351,183,14,15,46,28,286,7065,14589,761,56,65,109,132,1123,13466,457,8,0,0,6,1,15,442,217,21,2,5,16,4,48,169,50,4,0,0,2,0,6,44,66,5,0,0,1,6,12,54,465,16,2,1,4,1,24,441,315,14,2,0,4,1,21,294,84,0,0,0,0,0,0,84,66,2,0,1,0,0,3,63,291,9,0,3,3,3,18,273
95GG,269804,9272,739,499,1918,1753,14181,255623,116881,5473,423,280,1095,1015,8286,108595,93453,1990,146,122,367,421,3046,90407,72323,3228,253,224,531,684,4920,67403,2487,56,6,0,18,19,99,2388,1454,171,13,23,76,58,341,1113,272,8,0,0,8,2,18,254,1493,42,3,0,7,11,63,1430,5327,185,37,14,49,16,301,5026,3771,136,29,12,34,13,224,3547,248,10,3,0,1,0,14,234,1308,39,5,2,14,3,63,1245,6676,156,28,12,65,52,313,6363
95HH,37739,2387,206,148,413,389,3543,34196,28921,1849,155,112,321,292,2729,26192,2022,135,14,11,27,27,214,1808,11360,850,68,58,124,157,1257,10103,435,12,0,0,3,4,19,416,299,36,6,6,14,9,71,228,63,3,0,0,1,1,5,58,93,2,0,0,0,0,2,91,232,9,3,1,0,1,14,218,164,9,2,1,0,1,13,151,16,0,0,0,0,0,0,16,52,0,1,0,0,0,1,51,338,8,3,1,8,7,27,311
95II,64756,3231,196,133,479,551,4590,60166,43077,2373,133,92,346,385,3329,39748,9342,366,18,19,39,78,520,8822,20138,1091,66,53,146,237,1593,18545,562,15,0,2,4,2,23,539,364,55,6,5,7,16,89,275,65,4,0,1,1,0,6,59,180,5,0,0,2,0,7,173,522,22,3,1,5,3,34,488,379,18,2,1,4,1,26,353,45,0,0,0,1,0,1,44,98,4,1,0,0,2,7,91,955,35,2,0,16,12,65,890
95JJ,56990,6001,769,583,878,847,9078,47912,35705,4384,542,444,640,642,6652,29053,8203,503,53,29,68,73,726,7477,17962,2086,282,223,304,305,3200,14762,684,55,6,3,8,8,80,604,420,66,15,7,23,19,130,290,70,6,0,0,0,0,6,64,150,9,1,0,0,0,10,140,990,29,10,2,10,4,55,935,855,23,9,2,10,3,47,808,20,0,0,0,0,0,0,20,115,6,1,0,0,1,8,107,603,28,7,2,15,10,62,541
95KK,35320,1533,113,104,255,238,2243,33077,13274,1052,59,78,149,174,1512,11762,11782,226,19,18,39,30,332,11450,11303,420,39,31,94,82,666,10637,282,18,0,0,6,0,24,258,131,12,3,0,6,1,22,109,15,2,0,0,0,0,2,13,271,3,3,0,1,0,7,264,782,8,4,0,3,2,17,765,246,3,3,0,1,1,8,238,128,2,0,0,1,0,3,125,408,3,1,0,1,1,6,402,219,12,1,1,10,5,29,190
95LL,88565,2981,229,160,626,513,4509,84056,42961,2082,126,101,399,350,3058,39903,22557,351,22,33,66,68,540,22017,25260,889,62,50,166,175,1342,23918,784,22,0,1,9,8,40,744,389,35,6,7,17,12,77,312,71,6,2,0,2,0,10,61,946,16,2,2,8,4,32,914,3667,88,36,8,30,10,172,3495,2154,55,12,6,14,7,94,2060,986,24,11,1,11,2,49,937,527,9,13,1,5,1,29,498,939,28,3,2,11,8,52,887
95MM,103341,3098,232,184,656,465,4635,98706,24578,1559,125,101,252,222,2259,22319,56702,998,50,54,232,163,1497,55205,25457,908,72,57,207,151,1395,24062,933,22,1,3,3,3,32,901,528,33,6,3,19,13,74,454,70,4,0,0,0,2,6,64,325,6,0,1,0,3,10,315,685,20,6,0,9,1,36,649,529,19,6,0,7,1,33,496,62,0,0,0,2,0,2,60,94,1,0,0,0,0,1,93,990,17,4,6,17,11,55,935
95NN,66882,2552,174,171,367,394,3658,63224,27046,1547,109,117,215,259,2247,24799,21468,499,32,33,61,100,725,20743,22717,860,67,70,114,149,1260,21457,891,30,0,0,4,7,41,850,303,38,6,1,8,6,59,244,79,1,0,0,0,0,1,78,121,3,0,0,0,0,3,118,619,15,0,1,0,2,18,601,332,15,0,1,0,1,17,315,125,0,0,0,0,0,0,125,162,0,0,0,0,1,1,161,579,14,2,2,8,4,30,549
95OO,55075,1755,131,117,356,290,2649,52426,17141,1086,67,68,172,183,1576,15565,21265,349,19,23,67,41,499,20766,14918,489,28,29,97,99,742,14176,363,6,4,0,6,1,17,346,144,15,3,0,4,2,24,120,28,1,0,0,1,0,2,26,944,17,4,5,16,6,48,896,3709,43,18,7,25,10,103,3606,1366,16,7,2,10,2,37,1329,1780,21,7,3,13,6,50,1730,563,6,4,2,2,2,16,547,549,11,4,1,2,2,20,529
95PP,59282,1544,130,99,289,311,2373,56909,22122,961,72,62,143,221,1459,20663,21350,295,23,16,67,46,447,20903,17494,502,43,30,84,82,741,16753,783,18,1,1,6,2,28,755,231,28,1,1,9,3,42,189,43,0,0,1,0,0,1,42,168,7,2,0,0,0,9,159,1190,8,9,7,10,7,41,1149,627,6,1,7,5,6,25,602,332,0,7,0,4,1,12,320,231,2,1,0,1,0,4,227,426,6,0,5,9,3,23,403
95QQ,31065,3834,629,421,651,429,5964,25101,21699,2832,459,309,491,324,4415,17284,3150,305,65,24,53,42,489,2661,9677,1259,220,179,218,163,2039,7638,356,24,3,0,5,4,36,320,275,50,5,7,22,15,99,176,32,2,0,0,0,1,3,29,90,3,0,0,2,0,5,85,98,10,0,0,3,0,13,85,35,2,0,0,2,0,4,31,7,0,0,0,0,0,0,7,56,8,0,0,1,0,9,47,175,10,4,0,14,6,34,141
95RR,32150,1656,191,119,312,241,2519,29631,13670,1091,107,92,196,176,1662,12008,10192,317,36,17,38,30,438,9754,9852,426,61,34,96,84,701,9151,288,7,1,0,1,0,9,279,175,18,9,2,10,3,42,133,40,2,0,0,0,0,2,38,29,3,0,0,0,0,3,26,219,1,3,2,4,1,11,208,150,1,2,2,4,1,10,140,27,0,1,0,0,0,1,26,42,0,0,0,0,0,0,42,192,1,3,1,5,0,10,182
95SS,114825,5028,305,237,771,734,7075,107750,64178,3692,202,166,532,508,5100,59078,28033,598,36,27,87,110,858,27175,32775,1705,121,99,230,276,2431,30344,1506,39,0,4,3,9,55,1451,743,83,13,6,22,24,148,595,151,5,0,1,0,0,6,145,280,5,0,0,0,0,5,275,1210,41,12,1,15,4,73,1137,693,25,8,0,4,2,39,654,276,8,3,0,10,2,23,253,241,8,1,1,1,0,11,230,1164,30,4,5,16,6,61,1103
95TT,42883,2155,190,214,447,295,3301,39582,13593,1378,113,142,263,189,2085,11508,18211,484,37,43,94,67,725,17486,12690,598,62,71,147,76,954,11736,286,14,0,6,4,2,26,260,143,22,2,1,6,3,34,109,18,0,0,0,0,0,0,18,39,0,0,0,0,0,0,39,883,11,2,0,9,4,26,857,434,3,1,0,3,1,8,426,225,0,0,0,2,2,4,221,224,8,1,0,4,1,14,210,279,12,0,7,17,11,47,232
95UU,16423,1956,554,325,516,215,3566,12857,6364,1073,388,235,342,116,2154,4210,5585,435,50,31,73,47,636,4949,5273,620,186,92,186,78,1162,4111,198,19,0,0,4,2,25,173,148,22,3,4,9,3,41,107,20,2,0,0,1,0,3,17,30,6,0,0,0,0,6,24,75,1,0,0,3,2,6,69,47,0,0,0,3,0,3,44,13,0,0,0,0,2,2,11,15,1,0,0,0,0,1,14,118,11,3,0,3,1,18,100
95VV,94839,2298,214,176,499,318,3505,91334,19322,1312,144,118,211,159,1944,17378,50044,578,37,36,152,101,904,49140,26242,685,78,73,170,114,1120,25122,743,18,1,1,2,1,23,720,342,34,4,4,10,6,58,284,77,1,0,0,0,0,1,76,213,5,1,0,1,0,7,206,3055,38,6,2,15,2,63,2992,1810,30,5,1,14,0,50,1760,749,7,1,1,1,2,12,737,496,1,0,0,0,0,1,495,742,11,0,2,7,4,24,718
95WW,81578,4878,512,395,935,724,7444,74134,54504,3631,367,304,696,566,5564,48940,10876,382,41,29,71,66,589,10287,25202,1778,185,176,257,283,2679,22523,655,17,1,1,3,2,24,631,350,36,7,4,31,9,87,263,77,1,0,0,0,0,1,76,163,0,0,0,1,0,1,162,738,20,4,3,2,0,29,709,609,18,4,3,2,0,27,582,34,0,0,0,0,0,0,34,95,2,0,0,0,0,2,93,990,43,5,3,20,16,87,903
95XX,76068,4278,243,250,612,687,6070,69998,54186,3276,173,185,415,517,4566,49620,6923,413,25,38,31,77,584,6339,24839,1472,98,122,229,294,2215,22624,1481,48,2,1,6,6,63,1418,706,78,6,12,33,14,143,563,129,7,2,1,0,2,12,117,267,8,0,0,3,3,14,253,481,18,5,2,6,2,33,448,301,12,3,0,5,0,20,281,32,2,0,0,0,0,2,30,148,4,2,2,1,2,11,137,1009,27,0,6,11,8,52,957
95YY,49120,1678,138,84,270,232,2402,46718,14159,1019,81,59,141,149,1449,12710,19975,343,26,11,70,50,500,19475,16063,523,46,28,93,81,771,15292,313,7,0,1,0,1,9,304,189,19,1,6,6,2,34,155,35,1,0,0,0,0,1,34,80,1,0,0,0,0,1,79,1208,7,6,0,2,3,18,1190,650,2,6,0,1,2,11,639,117,2,0,0,0,0,2,115,441,3,0,0,1,1,5,436,329,9,0,2,11,5,27,302
95ZZ,38209,1729,178,130,361,233,2631,35578,12640,1074,129,95,193,153,1644,10996,14929,317,20,16,67,40,460,14469,12139,515,67,43,125,94,844,11295,293,15,0,1,1,0,17,276,220,13,2,4,7,5,31,189,30,2,0,0,1,0,3,27,30,1,0,0,0,0,1,29,299,3,2,1,5,1,12,287,197,3,2,1,3,1,10,187,12,0,0,0,0,0,0,12,90,0,0,0,2,0,2,88,163,3,0,0,0,1,4,159
