GeographyCode,DC2232NI0001,DC2232NI0002,DC2232NI0003,DC2232NI0004,DC2232NI0005,DC2232NI0006,DC2232NI0007,DC2232NI0008,DC2232NI0009,DC2232NI0010,DC2232NI0011,DC2232NI0012,DC2232NI0013,DC2232NI0014,DC2232NI0015,DC2232NI0016,DC2232NI0017,DC2232NI0018,DC2232NI0019,DC2232NI0020,DC2232NI0021,DC2232NI0022,DC2232NI0023,DC2232NI0024,DC2232NI0025,DC2232NI0026,DC2232NI0027,DC2232NI0028,DC2232NI0029,DC2232NI0030,DC2232NI0031,DC2232NI0032,DC2232NI0033,DC2232NI0034,DC2232NI0035,DC2232NI0036,DC2232NI0037,DC2232NI0038,DC2232NI0039,DC2232NI0040,DC2232NI0041,DC2232NI0042,DC2232NI0043,DC2232NI0044,DC2232NI0045,DC2232NI0046,DC2232NI0047,DC2232NI0048,DC2232NI0049,DC2232NI0050,DC2232NI0051,DC2232NI0052,DC2232NI0053,DC2232NI0054,DC2232NI0055,DC2232NI0056,DC2232NI0057,DC2232NI0058,DC2232NI0059,DC2232NI0060,DC2232NI0061,DC2232NI0062,DC2232NI0063,DC2232NI0064,DC2232NI0065,DC2232NI0066,DC2232NI0067,DC2232NI0068,DC2232NI0069,DC2232NI0070,DC2232NI0071,DC2232NI0072,DC2232NI0073,DC2232NI0074,DC2232NI0075,DC2232NI0076,DC2232NI0077,DC2232NI0078,DC2232NI0079,DC2232NI0080,DC2232NI0081,DC2232NI0082,DC2232NI0083,DC2232NI0084,DC2232NI0085,DC2232NI0086,DC2232NI0087,DC2232NI0088,DC2232NI0089,DC2232NI0090,DC2232NI0091,DC2232NI0092,DC2232NI0093,DC2232NI0094,DC2232NI0095,DC2232NI0096,DC2232NI0097,DC2232NI0098
95EE,29937,29495,241,6,15,11,7,7,2,17,28,4,4,100,29495,29495,0,0,0,0,0,0,0,0,0,0,0,0,442,0,241,6,15,11,7,7,2,17,28,4,4,100,126,0,40,2,12,2,1,1,1,4,12,2,0,49,144,0,74,2,3,5,4,1,1,7,12,2,4,29,136,0,101,1,0,4,2,5,0,6,4,0,0,13,36,0,26,1,0,0,0,0,0,0,0,0,0,9
95FF,46112,45397,317,88,27,7,10,18,19,15,6,9,6,193,45397,45397,0,0,0,0,0,0,0,0,0,0,0,0,715,0,317,88,27,7,10,18,19,15,6,9,6,193,266,0,60,27,22,3,6,4,17,6,6,6,2,107,264,0,158,32,5,4,3,4,2,5,0,2,3,46,153,0,83,21,0,0,1,10,0,4,0,0,1,33,32,0,16,8,0,0,0,0,0,0,0,1,0,7
95GG,269804,256904,3665,228,1650,159,526,939,746,84,145,271,215,4272,256904,256904,0,0,0,0,0,0,0,0,0,0,0,0,12900,0,3665,228,1650,159,526,939,746,84,145,271,215,4272,6083,0,971,93,1476,89,128,127,517,25,69,167,92,2329,4427,0,1685,80,145,51,257,443,220,44,46,89,77,1290,1944,0,845,50,13,17,130,272,9,13,30,12,40,513,446,0,164,5,16,2,11,97,0,2,0,3,6,140
95HH,37739,37226,153,20,6,14,21,36,9,4,10,26,4,210,37226,37226,0,0,0,0,0,0,0,0,0,0,0,0,513,0,153,20,6,14,21,36,9,4,10,26,4,210,220,0,37,8,6,10,9,7,3,2,7,14,2,115,183,0,68,9,0,2,7,21,4,1,3,12,2,54,84,0,42,3,0,1,5,6,1,1,0,0,0,25,26,0,6,0,0,1,0,2,1,0,0,0,0,16
95II,64756,63223,369,39,49,13,35,134,219,4,31,69,11,560,63223,63223,0,0,0,0,0,0,0,0,0,0,0,0,1533,0,369,39,49,13,35,134,219,4,31,69,11,560,793,0,119,8,45,10,8,30,173,1,13,44,8,334,474,0,176,18,4,2,20,41,45,2,9,20,1,136,231,0,65,12,0,1,5,53,1,1,8,5,2,78,35,0,9,1,0,0,2,10,0,0,1,0,0,12
95JJ,56990,55434,838,19,67,9,28,96,34,12,20,12,5,416,55434,55434,0,0,0,0,0,0,0,0,0,0,0,0,1556,0,838,19,67,9,28,96,34,12,20,12,5,416,532,0,167,7,54,6,6,14,19,5,8,7,0,239,564,0,341,5,7,1,13,49,14,1,9,3,5,116,359,0,263,5,2,0,5,28,1,6,2,1,0,46,101,0,67,2,4,2,4,5,0,0,1,1,0,15
95KK,35320,34089,238,129,43,241,262,29,3,47,59,8,33,139,34089,34089,0,0,0,0,0,0,0,0,0,0,0,0,1231,0,238,129,43,241,262,29,3,47,59,8,33,139,324,0,48,31,40,86,29,1,3,15,13,1,9,48,466,0,107,54,2,87,90,12,0,18,28,7,14,47,348,0,68,40,1,44,103,16,0,13,17,0,9,37,93,0,15,4,0,24,40,0,0,1,1,0,1,7
95LL,88565,83203,2091,968,115,799,144,79,135,149,88,49,46,699,83203,83203,0,0,0,0,0,0,0,0,0,0,0,0,5362,0,2091,968,115,799,144,79,135,149,88,49,46,699,1412,0,410,159,103,231,30,9,98,23,27,28,2,292,2182,0,925,421,8,330,67,33,34,75,26,18,24,221,1432,0,614,321,4,189,41,30,3,42,33,2,20,133,336,0,142,67,0,49,6,7,0,9,2,1,0,53
95MM,103341,101409,520,63,342,20,14,87,63,9,29,93,12,680,101409,101409,0,0,0,0,0,0,0,0,0,0,0,0,1932,0,520,63,342,20,14,87,63,9,29,93,12,680,935,0,103,13,305,6,4,17,39,2,7,61,3,375,578,0,184,22,32,10,5,46,22,4,9,24,5,215,325,0,184,21,5,4,3,22,1,1,13,8,3,60,94,0,49,7,0,0,2,2,1,2,0,0,1,30
95NN,66882,65748,325,120,142,13,37,38,22,65,17,62,19,274,65748,65748,0,0,0,0,0,0,0,0,0,0,0,0,1134,0,325,120,142,13,37,38,22,65,17,62,19,274,463,0,77,23,124,9,16,4,13,13,6,25,6,147,400,0,138,47,17,2,14,18,8,33,8,32,8,75,222,0,95,44,0,2,7,12,1,17,1,5,4,34,49,0,15,6,1,0,0,4,0,2,2,0,1,18
95OO,55075,49935,1331,1705,187,649,130,26,20,157,196,24,75,640,49935,49935,0,0,0,0,0,0,0,0,0,0,0,0,5140,0,1331,1705,187,649,130,26,20,157,196,24,75,640,1215,0,273,312,161,180,19,5,13,32,43,12,14,151,2018,0,529,706,24,275,41,18,6,66,57,10,32,254,1601,0,428,590,2,162,59,3,1,49,79,2,27,199,306,0,101,97,0,32,11,0,0,10,17,0,2,36
95PP,59282,57652,601,322,92,15,25,28,33,87,47,41,33,306,57652,57652,0,0,0,0,0,0,0,0,0,0,0,0,1630,0,601,322,92,15,25,28,33,87,47,41,33,306,565,0,161,72,75,6,5,11,23,30,9,23,6,144,653,0,275,133,14,5,13,7,10,38,24,15,14,105,342,0,142,103,2,4,3,9,0,18,13,2,10,36,70,0,23,14,1,0,4,1,0,1,1,1,3,21
95QQ,31065,30819,34,10,11,38,13,20,2,11,5,11,3,88,30819,30819,0,0,0,0,0,0,0,0,0,0,0,0,246,0,34,10,11,38,13,20,2,11,5,11,3,88,114,0,13,5,10,15,3,3,1,2,3,6,1,52,97,0,19,2,1,18,9,12,1,9,2,2,2,20,33,0,2,3,0,5,1,5,0,0,0,3,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,2
95RR,32150,31787,146,24,25,4,2,14,31,12,15,4,1,85,31787,31787,0,0,0,0,0,0,0,0,0,0,0,0,363,0,146,24,25,4,2,14,31,12,15,4,1,85,145,0,42,4,19,2,0,3,31,1,4,0,0,39,117,0,62,7,6,0,2,2,0,8,8,4,1,17,72,0,34,13,0,2,0,9,0,2,2,0,0,10,29,0,8,0,0,0,0,0,0,1,1,0,0,19
95SS,114825,112324,678,247,363,42,38,83,119,44,60,128,40,659,112324,112324,0,0,0,0,0,0,0,0,0,0,0,0,2501,0,678,247,363,42,38,83,119,44,60,128,40,659,1230,0,189,72,319,23,14,22,73,16,20,67,15,400,830,0,290,126,41,12,19,32,45,20,21,48,16,160,374,0,173,43,0,6,4,28,1,5,17,12,7,78,67,0,26,6,3,1,1,1,0,3,2,1,2,21
95TT,42883,41691,439,205,174,13,85,9,15,57,42,1,9,143,41691,41691,0,0,0,0,0,0,0,0,0,0,0,0,1192,0,439,205,174,13,85,9,15,57,42,1,9,143,411,0,72,51,159,8,18,1,9,13,11,1,0,68,411,0,191,78,14,4,43,6,6,20,11,0,3,35,319,0,154,69,1,1,20,2,0,21,15,0,6,30,51,0,22,7,0,0,4,0,0,3,5,0,0,10
95UU,16423,16205,47,12,60,2,1,16,0,1,7,12,0,60,16205,16205,0,0,0,0,0,0,0,0,0,0,0,0,218,0,47,12,60,2,1,16,0,1,7,12,0,60,118,0,14,2,53,1,0,1,0,1,0,10,0,36,52,0,16,7,4,1,1,7,0,0,2,2,0,12,36,0,16,3,0,0,0,7,0,0,5,0,0,5,12,0,1,0,3,0,0,1,0,0,0,0,0,7
95VV,94839,91046,1775,716,220,73,97,83,33,143,92,25,55,481,91046,91046,0,0,0,0,0,0,0,0,0,0,0,0,3793,0,1775,716,220,73,97,83,33,143,92,25,55,481,1225,0,429,146,185,31,36,17,28,53,25,15,10,250,1439,0,727,309,28,32,34,34,5,58,37,9,30,136,881,0,490,206,2,8,27,16,0,28,24,0,13,67,248,0,129,55,5,2,0,16,0,4,6,1,2,28
95WW,81578,79775,583,30,93,15,40,198,76,15,40,75,8,630,79775,79775,0,0,0,0,0,0,0,0,0,0,0,0,1803,0,583,30,93,15,40,198,76,15,40,75,8,630,714,0,122,4,86,8,8,28,56,2,25,56,7,312,685,0,272,15,5,5,23,108,18,10,14,15,1,199,332,0,158,7,2,2,9,58,2,3,1,2,0,88,72,0,31,4,0,0,0,4,0,0,0,2,0,31
95XX,76068,74776,298,32,28,25,39,81,82,32,20,83,26,546,74776,74776,0,0,0,0,0,0,0,0,0,0,0,0,1292,0,298,32,28,25,39,81,82,32,20,83,26,546,625,0,101,14,24,9,9,23,49,7,8,45,7,329,452,0,147,14,4,9,15,35,32,16,7,27,13,133,173,0,44,3,0,7,14,18,1,7,4,11,5,59,42,0,6,1,0,0,1,5,0,2,1,0,1,25
95YY,49120,47566,641,110,120,18,110,22,38,34,58,10,202,191,47566,47566,0,0,0,0,0,0,0,0,0,0,0,0,1554,0,641,110,120,18,110,22,38,34,58,10,202,191,438,0,94,25,98,7,30,0,27,12,7,9,35,94,598,0,283,50,17,6,51,9,11,12,24,1,80,54,448,0,230,32,4,4,23,12,0,10,24,0,80,29,70,0,34,3,1,1,6,1,0,0,3,0,7,14
95ZZ,38209,37681,192,8,118,2,1,13,11,11,14,10,57,91,37681,37681,0,0,0,0,0,0,0,0,0,0,0,0,528,0,192,8,118,2,1,13,11,11,14,10,57,91,223,0,41,0,108,0,1,3,7,2,0,4,11,46,160,0,74,5,10,0,0,4,4,6,5,6,21,25,113,0,63,3,0,2,0,5,0,3,9,0,19,9,32,0,14,0,0,0,0,1,0,0,0,0,6,11
