GeographyCode,DC2238NI0001,DC2238NI0002,DC2238NI0003,DC2238NI0004,DC2238NI0005,DC2238NI0006,DC2238NI0007,DC2238NI0008,DC2238NI0009,DC2238NI0010,DC2238NI0011,DC2238NI0012,DC2238NI0013,DC2238NI0014,DC2238NI0015,DC2238NI0016,DC2238NI0017,DC2238NI0018,DC2238NI0019,DC2238NI0020,DC2238NI0021,DC2238NI0022,DC2238NI0023,DC2238NI0024,DC2238NI0025,DC2238NI0026,DC2238NI0027,DC2238NI0028,DC2238NI0029,DC2238NI0030,DC2238NI0031,DC2238NI0032,DC2238NI0033,DC2238NI0034,DC2238NI0035,DC2238NI0036,DC2238NI0037,DC2238NI0038,DC2238NI0039,DC2238NI0040,DC2238NI0041,DC2238NI0042,DC2238NI0043,DC2238NI0044,DC2238NI0045,DC2238NI0046,DC2238NI0047,DC2238NI0048,DC2238NI0049,DC2238NI0050,DC2238NI0051,DC2238NI0052,DC2238NI0053,DC2238NI0054,DC2238NI0055,DC2238NI0056,DC2238NI0057,DC2238NI0058,DC2238NI0059,DC2238NI0060,DC2238NI0061,DC2238NI0062,DC2238NI0063,DC2238NI0064,DC2238NI0065,DC2238NI0066,DC2238NI0067,DC2238NI0068,DC2238NI0069,DC2238NI0070,DC2238NI0071,DC2238NI0072,DC2238NI0073,DC2238NI0074,DC2238NI0075,DC2238NI0076,DC2238NI0077,DC2238NI0078,DC2238NI0079,DC2238NI0080,DC2238NI0081,DC2238NI0082,DC2238NI0083,DC2238NI0084,DC2238NI0085,DC2238NI0086,DC2238NI0087,DC2238NI0088,DC2238NI0089,DC2238NI0090,DC2238NI0091,DC2238NI0092,DC2238NI0093,DC2238NI0094,DC2238NI0095,DC2238NI0096,DC2238NI0097,DC2238NI0098,DC2238NI0099,DC2238NI0100,DC2238NI0101,DC2238NI0102,DC2238NI0103,DC2238NI0104,DC2238NI0105,DC2238NI0106,DC2238NI0107,DC2238NI0108,DC2238NI0109,DC2238NI0110,DC2238NI0111,DC2238NI0112,DC2238NI0113,DC2238NI0114,DC2238NI0115,DC2238NI0116,DC2238NI0117,DC2238NI0118,DC2238NI0119,DC2238NI0120,DC2238NI0121,DC2238NI0122,DC2238NI0123,DC2238NI0124,DC2238NI0125,DC2238NI0126,DC2238NI0127,DC2238NI0128,DC2238NI0129,DC2238NI0130
UKN04,288597,163249,114709,1853,8786,283976,160258,114077,1416,8225,4621,2991,632,437,561,96989,15755,76800,707,3727,96913,92314,3442,216,941,63916,43415,18363,227,1911,13016,1271,11234,52,459,3589,3249,267,8,65,2173,987,1023,26,137,1611,978,557,20,56,1873,672,813,47,341,1310,624,458,11,217,175,47,92,4,32,1289,351,716,21,201,463,268,74,12,109,146,88,27,6,25,2613,2240,182,27,164,2081,1953,50,7,71,134,107,6,3,18,398,180,126,17,75,216,176,19,6,15,164,152,3,5,4,15,10,1,1,3,37,14,15,0,8,1545,483,376,398,288,760,331,266,65,98
UKN05,411884,269084,131089,2118,9593,395751,256641,129769,1689,7652,16133,12443,1320,429,1941,110738,16502,90141,892,3203,157079,151533,4217,266,1063,97219,75520,19462,295,1942,13481,1165,11946,59,311,5841,5492,276,11,62,2288,1303,888,20,77,2021,1395,562,6,58,2178,1026,781,36,335,1100,542,331,16,211,208,76,86,4,42,1362,519,692,4,147,1521,1108,129,32,252,374,263,67,6,38,12686,10481,738,103,1364,5815,5516,116,19,164,4087,3600,137,14,336,2784,1365,485,70,864,750,627,55,4,64,341,322,10,2,7,249,214,16,0,19,160,91,29,2,38,1926,854,453,294,325,1112,678,265,70,99
95AA,53428,22010,26970,498,3950,51558,20789,26764,382,3623,1870,1221,206,116,327,24456,4119,18114,246,1977,9197,8603,406,25,163,11521,6462,4203,51,805,3539,356,2934,24,225,456,393,53,0,10,588,277,258,6,47,385,246,114,4,21,439,81,196,7,155,251,61,125,1,64,53,11,21,2,19,467,75,280,4,108,101,58,13,1,29,33,17,11,0,5,1294,984,72,11,227,628,572,9,0,47,300,243,15,3,39,366,169,48,8,141,43,37,0,0,6,26,23,0,0,3,10,10,0,0,0,7,4,0,0,3,475,179,121,104,71,130,51,49,12,18
95BB,78078,9904,60054,819,7301,77177,9494,59855,756,7072,901,410,199,63,229,46385,2747,39327,472,3839,3867,2662,969,26,210,14526,3144,9562,130,1690,8782,300,7686,32,764,311,170,119,2,20,1024,132,737,21,134,546,129,366,6,45,482,42,327,13,100,319,42,180,11,86,74,8,52,1,13,582,56,401,11,114,112,33,39,3,37,25,6,13,0,6,459,299,39,2,119,156,140,0,0,16,155,117,12,0,26,148,42,27,2,77,51,39,4,0,8,30,29,0,0,1,8,8,0,0,0,13,2,4,0,7,330,78,121,58,73,203,17,112,31,43
95CC,59340,28698,28486,356,1800,57321,27316,28227,303,1475,2019,1382,259,53,325,22357,1603,19843,184,727,17751,16981,602,35,133,11962,7436,4106,51,369,3069,121,2870,14,64,550,487,53,2,8,387,153,215,4,15,272,131,132,1,8,280,108,128,2,42,138,50,50,3,35,36,6,19,1,10,215,46,138,1,30,79,30,21,2,26,46,20,17,2,7,1683,1274,145,20,244,561,511,14,2,34,689,623,14,6,46,433,140,117,12,164,116,101,5,0,10,31,30,1,0,0,71,63,2,0,6,14,8,2,0,4,257,78,93,31,55,142,73,49,3,17
95DD,64044,14440,45700,546,3358,61896,13101,45265,475,3055,2148,1339,435,71,303,37060,2835,32149,331,1745,5642,4887,604,28,123,11017,4194,6030,60,733,5738,294,5203,23,218,371,292,66,0,13,607,208,350,6,43,345,148,176,1,20,287,38,185,4,60,237,54,134,4,45,22,3,15,2,2,304,38,234,4,28,69,28,20,2,19,25,6,12,0,7,1774,1227,310,8,229,949,904,12,0,33,53,46,0,0,7,772,277,298,8,189,80,63,8,5,4,50,48,0,0,2,0,0,0,0,0,30,15,8,5,2,305,84,105,61,55,161,41,99,7,14
95EE,31224,9928,19687,191,1418,30795,9634,19608,181,1372,429,294,79,10,46,16028,1596,13570,96,766,4418,4037,298,12,71,6802,3403,3094,34,271,2263,132,2031,14,86,256,222,25,1,8,241,69,145,4,23,169,66,93,2,8,221,26,128,9,58,115,22,62,2,29,25,1,19,1,4,161,24,96,4,37,20,10,2,0,8,8,2,2,0,4,323,266,32,0,25,254,241,7,0,6,6,6,0,0,0,63,19,25,0,19,28,27,0,0,1,28,27,0,0,1,0,0,0,0,0,0,0,0,0,0,86,18,45,10,13,60,7,45,2,6
95FF,48339,15479,29979,361,2520,47631,15014,29859,330,2428,708,465,120,31,92,24679,2828,20435,182,1234,6473,5756,555,31,131,10685,5331,4625,72,657,3689,260,3243,16,170,337,266,61,0,10,551,209,310,6,26,330,149,167,1,13,279,72,130,4,73,158,27,82,4,45,31,3,18,0,10,247,46,167,2,32,53,28,12,0,13,17,6,3,0,8,481,393,31,3,54,326,299,4,0,23,84,75,3,2,4,71,19,24,1,27,25,23,1,0,1,13,12,1,0,0,9,9,0,0,0,3,2,0,0,1,174,44,77,28,25,130,38,62,12,18
95GG,280962,136497,118856,4825,20784,268625,130782,117182,2739,17922,12337,5715,1674,2086,2862,98532,12104,76737,1457,8234,87312,81652,3406,356,1898,52633,28863,18847,430,4493,14928,912,12778,108,1130,3471,2876,401,14,180,3456,1281,1768,31,376,2146,1246,699,25,176,1472,411,631,43,387,1035,264,498,18,255,159,23,78,5,53,1526,307,838,37,344,1270,551,208,66,445,270,119,68,8,75,5374,3929,397,71,977,3866,3371,127,56,312,241,163,14,3,61,1267,395,256,12,604,335,247,41,6,41,207,179,10,3,15,21,20,1,0,0,107,48,30,3,26,5693,1235,1069,1949,1440,1350,477,392,201,280
95HH,39114,3738,31005,357,4014,38576,3462,30874,334,3906,538,276,131,23,108,24436,1237,20801,191,2207,1225,746,360,19,100,6692,1050,4674,58,910,4481,160,3902,14,405,125,48,59,4,14,440,55,330,5,50,236,50,160,5,21,269,32,165,8,64,211,20,135,11,45,34,0,24,1,9,264,22,184,2,56,78,35,22,0,21,19,7,7,0,5,227,170,27,0,30,160,145,3,0,12,17,15,2,0,0,50,10,22,0,18,25,13,11,0,1,22,12,9,0,1,0,0,0,0,0,3,1,2,0,0,233,71,82,23,57,119,22,62,16,19
95II,67242,14955,45669,842,5776,65821,14263,45404,672,5482,1421,692,265,170,294,35753,2361,30092,413,2887,7390,6323,738,40,289,12536,4004,7057,117,1358,6539,263,5746,32,498,645,481,104,11,49,1090,364,618,6,102,542,224,271,7,40,308,31,181,12,84,217,26,144,1,46,40,7,24,0,9,416,47,293,4,72,150,72,30,4,44,35,19,9,0,7,543,403,29,5,106,396,334,12,2,48,48,37,4,1,6,99,32,13,2,52,34,25,2,0,7,21,17,1,0,3,3,3,0,0,0,10,5,1,0,4,728,217,206,161,144,276,88,125,29,34
95JJ,59067,16552,38560,541,3414,57476,15492,38350,455,3179,1591,1060,210,86,235,30378,3305,25319,230,1524,6776,5696,850,50,180,12420,5078,6423,87,832,4855,381,4213,19,242,451,324,107,2,18,749,227,434,16,72,396,147,221,10,18,430,81,249,10,90,303,73,155,3,72,43,3,24,3,13,397,66,255,6,70,121,48,27,6,40,36,12,11,4,9,1038,912,50,5,71,906,862,11,2,31,23,17,2,1,3,109,33,37,2,37,47,34,8,0,5,36,32,3,0,1,0,0,0,0,0,11,2,5,0,4,432,100,133,75,124,195,65,81,15,34
95KK,37013,21933,13982,177,921,35822,21077,13892,150,703,1191,856,90,27,218,11845,1421,10009,84,331,11396,11016,312,14,54,9660,7547,1894,31,188,1447,118,1295,6,28,493,461,30,0,2,214,104,104,4,2,174,117,46,1,10,202,91,72,3,36,103,51,30,0,22,11,5,5,0,1,114,46,62,0,6,241,179,9,0,53,40,30,6,1,3,799,622,42,6,129,247,232,6,2,7,141,129,3,0,9,411,261,33,4,113,47,35,2,0,10,21,21,0,0,0,3,2,0,0,1,23,12,2,0,9,151,55,39,21,36,76,35,25,6,10
95LL,93023,42735,44686,851,4751,87664,38867,44281,686,3830,5359,3868,405,165,921,37475,4261,30903,415,1896,21426,20304,769,68,285,19246,12040,6114,104,988,5711,341,5091,27,252,842,762,69,1,10,679,249,382,4,44,476,286,159,9,22,494,149,247,4,94,289,78,130,6,75,49,9,29,1,10,394,75,241,4,74,843,556,58,5,224,127,82,13,2,30,3806,3057,178,21,550,2264,2055,53,9,147,1008,775,35,3,195,534,227,90,9,208,182,146,14,0,22,99,93,0,0,6,57,43,3,0,11,26,10,11,0,5,710,255,169,139,147,274,85,120,41,28
95MM,107877,80729,24105,823,2220,106253,79761,23901,558,2033,1624,968,204,265,187,21369,4644,15740,298,687,55949,54123,1224,114,488,21310,17127,3697,52,434,2602,346,2159,9,88,1786,1669,82,5,30,669,391,252,5,21,540,395,126,2,17,682,338,225,16,103,451,287,106,5,53,44,20,17,0,7,361,132,169,8,52,258,175,30,6,47,76,56,10,2,8,654,568,50,7,29,513,475,20,4,14,60,50,1,1,8,81,43,29,2,7,87,71,3,5,8,68,61,0,5,2,4,2,0,0,2,15,8,3,0,4,712,225,124,252,111,327,162,91,37,37
95NN,69731,43591,22372,409,3359,68641,42914,22215,365,3147,1090,677,157,44,212,23056,7085,14385,155,1431,19681,18680,660,48,293,18814,14166,3762,93,793,2975,573,2225,15,162,956,850,69,2,35,889,506,310,8,65,680,475,163,14,28,592,179,246,6,161,230,88,96,1,45,57,16,26,3,12,395,132,195,2,66,88,44,19,1,24,37,22,1,0,14,608,480,27,0,101,344,332,4,0,8,110,85,9,0,16,154,63,14,0,77,64,44,11,0,9,22,21,1,0,0,24,21,1,0,2,18,2,9,0,7,394,153,111,43,87,215,98,66,18,33
95OO,57852,37087,19111,324,1330,52818,32916,18811,244,847,5034,4171,300,80,483,15338,1628,13247,131,332,20644,19934,579,27,104,12704,9565,2839,52,248,1770,95,1637,5,33,763,729,25,3,6,319,157,145,2,15,243,167,73,0,3,217,115,80,2,20,118,45,39,4,30,21,7,7,0,7,165,63,84,0,18,819,656,29,23,111,152,127,9,1,15,3828,3319,177,28,304,1434,1379,20,7,28,1809,1639,47,1,122,585,301,110,20,154,182,161,15,0,6,60,57,2,0,1,95,83,7,0,5,27,21,6,0,0,387,196,94,29,68,182,123,32,17,10
95PP,61805,36563,23350,353,1539,60167,35404,23155,286,1322,1638,1159,195,67,217,19729,3486,15555,134,554,20635,19369,1048,56,162,14799,10753,3699,46,301,2288,233,1993,11,51,695,618,59,3,15,373,198,157,5,13,320,170,136,0,14,546,216,228,12,90,188,81,67,1,39,37,12,18,2,5,288,116,136,1,35,133,89,23,1,20,40,27,9,0,4,1199,928,97,16,158,629,577,32,5,15,349,262,28,4,55,221,89,37,7,88,82,55,12,1,14,46,40,4,0,2,16,10,4,0,2,20,5,4,1,10,306,142,75,50,39,147,70,38,14,25
95QQ,32180,8003,21934,184,2059,31903,7889,21853,169,1992,277,114,81,15,67,18508,2587,14799,90,1032,2455,2083,295,13,64,6367,2511,3345,30,481,3063,246,2611,10,196,138,106,26,0,6,401,133,228,3,37,193,95,88,2,8,209,26,123,6,54,189,32,110,2,45,26,5,16,0,5,248,33,162,6,47,77,28,14,2,33,19,6,8,0,5,100,56,26,0,18,35,33,0,0,2,8,8,0,0,0,57,15,26,0,16,5,5,0,0,0,3,3,0,0,0,0,0,0,0,0,2,2,0,0,0,100,30,41,13,16,82,21,42,7,12
95RR,33536,20014,12625,103,794,33179,19774,12569,79,757,357,240,56,24,37,12295,3097,8791,39,368,9825,9404,348,8,65,8363,6202,1949,20,192,1298,205,1073,4,16,362,332,27,0,3,215,123,78,0,14,210,160,48,0,2,201,64,86,3,48,137,58,57,0,22,27,8,14,0,5,141,44,83,2,12,21,13,5,0,3,8,6,1,0,1,205,161,16,13,15,143,131,4,0,8,19,11,3,1,4,43,19,9,12,3,26,24,0,1,1,16,16,0,0,0,10,8,0,1,1,0,0,0,0,0,131,66,35,11,19,71,47,14,2,8
95SS,120165,43815,67197,1009,8144,117912,42599,66662,858,7793,2253,1216,535,151,351,54098,5666,43844,499,4089,25744,23739,1467,84,454,22527,10261,10352,143,1771,8995,551,7815,44,585,1071,854,160,6,51,1526,428,978,11,109,924,434,446,3,41,807,164,419,18,206,497,106,248,9,134,101,10,57,0,34,1010,121,645,6,238,227,117,53,7,50,78,32,33,0,13,1209,840,172,18,179,687,584,50,4,49,277,204,14,4,55,245,52,108,10,75,117,101,9,0,7,72,68,1,0,3,29,27,0,0,2,16,6,8,0,2,817,259,310,126,122,417,132,189,35,61
95TT,45038,29728,14179,212,919,43974,28899,14093,185,797,1064,829,86,27,122,12043,1457,10152,122,312,17705,17184,418,12,91,10781,8708,1823,28,222,1471,106,1299,9,57,848,802,30,1,15,227,144,76,0,7,237,184,48,1,4,172,68,67,2,35,125,65,41,3,16,12,1,7,0,4,152,49,89,1,13,29,23,4,0,2,10,7,2,0,1,869,718,48,5,98,431,420,2,0,9,221,177,20,3,21,217,121,26,2,68,67,55,6,0,6,35,33,1,0,1,16,16,0,0,0,16,6,5,0,5,166,88,34,22,22,124,69,35,6,14
95UU,17050,10155,6310,78,507,16882,10052,6279,62,489,168,103,31,16,18,5598,1217,4133,19,229,5279,4998,204,11,66,4441,3196,1134,15,96,655,103,534,4,14,236,220,14,0,2,111,54,55,1,1,124,80,33,2,9,137,54,52,4,27,113,57,35,1,20,11,2,7,0,2,104,41,50,1,12,21,13,5,0,3,10,6,1,0,3,79,65,7,1,6,53,47,1,1,4,14,13,0,0,1,12,5,6,0,1,7,4,3,0,0,3,3,0,0,0,1,0,1,0,0,3,1,2,0,0,68,25,19,15,9,56,20,24,4,8
95VV,99480,78953,17901,452,2174,95781,76058,17629,305,1789,3699,2895,272,147,385,16786,4354,11652,135,645,49493,48235,756,89,413,22978,19621,2884,38,435,2101,352,1686,4,59,1735,1674,47,0,14,487,351,113,2,21,493,405,75,1,12,546,322,136,9,79,272,163,60,3,46,60,35,16,1,8,285,140,118,1,26,155,108,24,2,21,66,43,15,2,6,3067,2586,163,23,295,1826,1724,39,2,61,760,666,23,0,71,481,196,101,21,163,190,164,13,2,11,119,113,2,1,3,37,31,3,0,3,34,20,8,1,5,477,201,85,122,69,289,199,58,18,14
