GeographyCode,DC2234NI0001,DC2234NI0002,DC2234NI0003,DC2234NI0004,DC2234NI0005,DC2234NI0006,DC2234NI0007,DC2234NI0008,DC2234NI0009,DC2234NI0010,DC2234NI0011,DC2234NI0012,DC2234NI0013,DC2234NI0014,DC2234NI0015,DC2234NI0016,DC2234NI0017,DC2234NI0018,DC2234NI0019,DC2234NI0020,DC2234NI0021,DC2234NI0022,DC2234NI0023,DC2234NI0024,DC2234NI0025,DC2234NI0026,DC2234NI0027,DC2234NI0028,DC2234NI0029,DC2234NI0030,DC2234NI0031,DC2234NI0032,DC2234NI0033,DC2234NI0034,DC2234NI0035,DC2234NI0036,DC2234NI0037,DC2234NI0038,DC2234NI0039,DC2234NI0040,DC2234NI0041,DC2234NI0042,DC2234NI0043,DC2234NI0044,DC2234NI0045,DC2234NI0046,DC2234NI0047,DC2234NI0048,DC2234NI0049,DC2234NI0050,DC2234NI0051,DC2234NI0052,DC2234NI0053,DC2234NI0054,DC2234NI0055,DC2234NI0056,DC2234NI0057,DC2234NI0058,DC2234NI0059,DC2234NI0060,DC2234NI0061,DC2234NI0062,DC2234NI0063,DC2234NI0064,DC2234NI0065,DC2234NI0066,DC2234NI0067,DC2234NI0068,DC2234NI0069,DC2234NI0070,DC2234NI0071,DC2234NI0072,DC2234NI0073,DC2234NI0074,DC2234NI0075,DC2234NI0076,DC2234NI0077,DC2234NI0078,DC2234NI0079,DC2234NI0080,DC2234NI0081,DC2234NI0082,DC2234NI0083,DC2234NI0084,DC2234NI0085,DC2234NI0086,DC2234NI0087,DC2234NI0088,DC2234NI0089,DC2234NI0090,DC2234NI0091,DC2234NI0092,DC2234NI0093,DC2234NI0094,DC2234NI0095,DC2234NI0096,DC2234NI0097,DC2234NI0098,DC2234NI0099,DC2234NI0100,DC2234NI0101,DC2234NI0102,DC2234NI0103,DC2234NI0104,DC2234NI0105,DC2234NI0106,DC2234NI0107,DC2234NI0108,DC2234NI0109,DC2234NI0110,DC2234NI0111,DC2234NI0112,DC2234NI0113,DC2234NI0114,DC2234NI0115,DC2234NI0116,DC2234NI0117,DC2234NI0118,DC2234NI0119,DC2234NI0120,DC2234NI0121,DC2234NI0122,DC2234NI0123,DC2234NI0124,DC2234NI0125,DC2234NI0126
WELB,282102,276095,2100,527,697,59,152,164,176,153,163,158,305,1353,59522,59083,211,1,127,4,9,10,2,2,0,0,19,54,120935,120462,6,2,75,0,0,56,54,1,1,45,1,232,91152,90557,7,0,471,2,0,1,2,0,1,0,7,104,3972,3950,0,0,12,0,0,2,0,0,0,0,0,8,394,359,1,0,0,1,0,0,8,0,1,1,0,23,490,469,0,0,5,0,0,0,0,0,1,0,0,15,4041,333,1875,524,1,47,143,3,0,150,139,0,278,548,1596,882,0,0,6,5,0,92,110,0,20,112,0,369
UKN01,269804,256904,3665,228,1650,159,526,939,746,84,145,271,215,4272,39344,38424,335,2,186,5,31,55,0,0,2,0,9,295,152852,151405,18,0,169,4,9,261,308,0,4,69,0,605,58907,57511,3,0,1258,1,4,9,6,2,3,3,0,107,5761,5720,0,0,26,0,0,2,2,0,0,0,0,11,890,698,4,0,1,6,1,21,35,0,10,0,0,114,406,364,1,0,4,1,0,0,4,0,8,0,0,24,6486,600,3301,226,4,97,480,9,1,82,61,0,205,1420,5158,2182,3,0,2,45,1,582,390,0,57,199,1,1696
UKN02,374966,367324,2081,368,539,109,173,532,505,99,161,381,89,2605,45825,45506,161,3,57,5,12,7,0,0,2,0,2,70,276852,275478,9,0,72,4,4,248,183,0,12,125,3,714,36132,35654,1,1,392,0,0,0,1,0,4,6,0,73,7097,7060,0,0,17,0,0,3,0,0,0,4,0,13,1231,1067,6,0,0,3,0,10,19,0,8,0,1,117,351,316,0,0,1,0,0,0,2,0,2,0,0,30,4138,575,1901,364,0,74,157,9,0,99,79,0,82,798,3340,1668,3,0,0,23,0,255,300,0,54,246,1,790
UKN03,420580,408237,4440,1660,399,940,757,280,348,331,202,249,174,2563,72950,72154,482,31,60,81,39,7,0,0,1,0,4,91,276085,275083,19,6,39,8,0,160,118,0,5,45,0,602,51365,50945,8,4,285,39,1,2,1,0,4,4,0,72,6819,6790,1,0,10,0,0,1,0,0,0,0,0,17,1005,902,4,1,0,2,0,0,6,0,10,0,0,80,315,287,0,0,3,2,0,4,0,0,0,0,0,19,9525,738,3924,1616,2,747,717,6,1,330,140,3,170,1131,2516,1338,2,2,0,61,0,100,222,1,42,197,0,551
UKN04,277050,272011,1984,132,627,48,53,233,141,62,113,135,79,1432,57734,57308,238,0,96,8,2,5,2,3,1,0,3,68,136208,135678,6,2,85,1,0,68,46,0,0,36,0,286,73800,73277,6,0,422,1,0,2,1,0,4,0,0,87,3880,3858,0,0,14,0,0,2,0,0,0,0,0,6,419,380,1,0,0,0,0,0,9,0,0,1,0,28,332,311,0,0,4,0,0,0,0,0,2,0,0,15,2975,284,1733,130,0,37,51,4,0,59,77,0,76,524,1702,915,0,0,6,1,0,152,83,0,29,98,0,418
UKN05,393311,376695,5561,3862,949,1037,748,230,155,697,570,138,451,2218,80008,78969,527,39,139,137,47,10,0,2,4,0,41,93,175114,174498,17,7,96,13,1,100,35,1,3,35,2,306,114427,113559,12,11,682,39,1,1,1,1,6,0,11,103,6515,6484,0,0,21,0,0,0,0,0,0,0,0,10,583,523,2,0,2,5,0,1,4,0,6,0,1,39,766,741,1,2,2,4,0,0,0,0,2,0,0,14,13996,895,5000,3796,2,758,699,7,1,691,486,0,395,1266,1902,1026,2,7,5,81,0,111,114,2,63,103,1,387
95AA,51042,49238,582,279,83,49,189,30,59,14,18,87,79,335,8058,7958,62,5,7,8,7,1,0,0,0,0,1,9,33472,33290,2,0,15,1,0,13,31,0,0,17,0,103,6680,6609,1,0,58,0,1,0,0,0,1,2,0,8,872,868,0,0,3,0,0,0,0,0,0,0,0,1,120,115,0,0,0,0,0,0,0,0,0,0,0,5,62,56,0,0,0,0,0,2,0,0,0,0,0,4,1313,91,517,274,0,39,181,0,1,14,12,0,78,106,465,251,0,0,0,1,0,14,27,0,5,68,0,99
95BB,75313,74323,173,147,3,16,33,50,63,46,51,16,16,376,11702,11663,16,1,0,0,2,0,0,0,0,0,0,20,57504,57324,1,1,0,0,0,30,6,0,0,3,0,139,3618,3607,0,1,3,0,0,1,0,0,2,0,0,4,1213,1208,1,0,0,0,0,1,0,0,0,0,0,3,230,204,0,0,0,0,0,0,2,0,2,0,0,22,37,29,0,0,0,1,0,2,0,0,0,0,0,5,645,100,155,144,0,13,31,2,0,46,34,0,16,104,364,188,0,0,0,2,0,14,55,0,13,13,0,79
95CC,56792,54716,536,675,113,28,39,33,13,172,76,29,44,318,10552,10444,52,17,13,2,6,2,0,1,0,0,3,12,28946,28862,2,4,4,1,0,14,3,0,0,6,0,50,14133,14021,3,4,91,1,0,0,0,1,2,0,1,9,973,969,0,0,3,0,0,0,0,0,0,0,0,1,100,90,0,0,0,2,0,0,1,0,3,0,0,4,59,58,0,1,0,0,0,0,0,0,0,0,0,0,1769,138,479,649,1,11,33,0,0,169,52,0,40,197,260,134,0,0,1,11,0,17,9,1,19,23,0,45
95DD,61601,59509,918,48,18,18,331,45,48,31,17,15,5,598,12495,12326,134,2,2,1,12,0,0,0,0,0,1,17,41923,41798,6,0,4,0,0,29,13,0,1,2,0,70,4201,4173,3,0,11,2,0,1,0,0,0,0,0,11,820,819,0,0,1,0,0,0,0,0,0,0,0,0,143,128,3,0,0,0,0,0,1,0,1,0,0,10,20,17,0,0,0,0,0,0,0,0,0,0,0,3,1689,71,772,46,0,14,319,1,0,31,14,0,4,417,310,177,0,0,0,1,0,14,34,0,1,13,0,70
95EE,29937,29495,241,6,15,11,7,7,2,17,28,4,4,100,7470,7421,34,0,1,2,0,0,0,0,0,0,0,12,18510,18464,1,0,1,1,0,6,2,0,0,0,0,35,3208,3188,0,0,13,1,0,0,0,0,3,0,0,3,320,318,0,0,0,0,0,0,0,0,0,0,0,2,28,28,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,1,0,0,0,327,30,206,6,0,7,7,0,0,17,15,0,4,35,68,41,0,0,0,0,0,1,0,0,9,4,0,13
95FF,46112,45397,317,88,27,7,10,18,19,15,6,9,6,193,8066,8009,44,0,4,1,0,1,0,0,0,0,1,6,31370,31303,2,0,3,0,0,10,7,0,0,3,0,42,5097,5071,0,0,20,0,0,0,0,0,0,0,0,6,709,707,0,0,0,0,0,0,0,0,0,0,0,2,99,86,0,0,0,0,0,0,0,0,1,0,0,12,28,27,0,0,0,0,0,0,0,0,0,0,0,1,528,60,271,86,0,4,10,0,0,15,1,0,5,76,215,134,0,2,0,2,0,7,12,0,4,6,0,48
95GG,269804,256904,3665,228,1650,159,526,939,746,84,145,271,215,4272,39344,38424,335,2,186,5,31,55,0,0,2,0,9,295,152852,151405,18,0,169,4,9,261,308,0,4,69,0,605,58907,57511,3,0,1258,1,4,9,6,2,3,3,0,107,5761,5720,0,0,26,0,0,2,2,0,0,0,0,11,890,698,4,0,1,6,1,21,35,0,10,0,0,114,406,364,1,0,4,1,0,0,4,0,8,0,0,24,6486,600,3301,226,4,97,480,9,1,82,61,0,205,1420,5158,2182,3,0,2,45,1,582,390,0,57,199,1,1696
95HH,37739,37226,153,20,6,14,21,36,9,4,10,26,4,210,5134,5116,10,1,0,1,0,0,0,0,0,0,0,6,30097,30013,0,0,2,0,2,21,0,0,1,0,0,58,1293,1287,0,0,4,0,0,0,0,0,0,0,0,2,504,503,0,0,0,0,0,0,0,0,0,0,0,1,127,114,1,0,0,1,0,0,0,0,2,0,0,9,25,20,0,0,0,0,0,0,0,0,0,0,0,5,321,46,142,19,0,11,19,1,0,4,0,0,4,75,238,127,0,0,0,1,0,14,9,0,7,26,0,54
95II,64756,63223,369,39,49,13,35,134,219,4,31,69,11,560,6967,6919,27,0,3,0,3,3,0,0,0,0,0,12,48592,48165,1,0,8,0,0,85,114,0,1,17,1,200,6244,6193,0,0,36,0,0,0,0,0,1,1,0,13,1268,1261,0,0,2,0,0,3,0,0,0,1,0,1,241,199,4,0,0,0,0,1,8,0,3,0,0,26,77,64,0,0,0,0,0,0,1,0,1,0,0,11,688,86,337,39,0,11,32,4,0,4,16,0,10,149,679,336,0,0,0,2,0,38,96,0,9,50,0,148
95JJ,56990,55434,838,19,67,9,28,96,34,12,20,12,5,416,11177,11034,112,0,6,3,2,1,0,1,1,0,0,17,37878,37741,4,0,19,0,0,22,9,0,0,0,0,83,5350,5284,4,0,41,0,0,1,0,0,0,0,0,20,861,859,0,0,1,0,0,0,0,0,0,0,0,1,168,149,1,0,0,0,0,0,3,0,0,0,0,15,50,42,0,0,0,0,0,0,0,0,1,0,0,7,1046,86,717,19,0,6,26,4,0,11,9,0,5,163,460,239,0,0,0,0,0,68,22,0,9,12,0,110
95KK,35320,34089,238,129,43,241,262,29,3,47,59,8,33,139,7836,7762,14,0,6,26,16,0,0,1,1,0,2,8,18259,18191,2,0,6,6,0,12,0,0,0,0,0,42,7440,7406,1,0,25,4,0,0,0,0,0,0,0,4,536,530,0,0,6,0,0,0,0,0,0,0,0,0,56,54,0,0,0,0,0,0,0,0,1,0,0,1,30,29,0,0,0,1,0,0,0,0,0,0,0,0,1034,59,221,129,0,193,246,2,0,46,53,0,31,54,129,58,0,0,0,11,0,15,3,0,4,8,0,30
95LL,88565,83203,2091,968,115,799,144,79,135,149,88,49,46,699,14589,14246,193,22,21,67,14,3,0,0,1,0,1,21,51299,50999,8,5,3,6,0,43,60,0,2,7,0,166,16007,15847,4,3,86,37,0,0,1,0,1,1,0,27,1345,1336,0,0,2,0,0,0,0,0,0,0,0,7,187,157,0,1,0,1,0,0,3,0,2,0,0,23,65,58,0,0,2,1,0,0,0,0,0,0,0,4,4414,290,1884,937,1,636,130,3,0,148,66,3,45,271,659,270,2,0,0,51,0,30,71,1,16,38,0,180
95MM,103341,101409,520,63,342,20,14,87,63,9,29,93,12,680,17887,17765,53,0,44,3,0,3,0,2,0,0,0,17,37448,37211,1,2,28,0,0,23,26,0,0,31,0,126,44365,44061,2,0,255,0,0,0,1,0,1,0,0,45,1575,1565,0,0,7,0,0,1,0,0,0,0,0,2,123,104,0,0,0,0,0,0,6,0,0,1,0,12,184,174,0,0,4,0,0,0,0,0,0,0,0,6,942,108,464,61,0,16,14,0,0,7,20,0,12,240,817,421,0,0,4,1,0,60,30,0,8,61,0,232
95NN,66882,65748,325,120,142,13,37,38,22,65,17,62,19,274,12110,12033,32,1,24,0,4,2,0,0,0,0,0,14,38070,37956,0,0,13,0,0,22,1,0,1,13,0,64,13883,13768,0,0,100,0,0,0,0,0,0,1,0,14,1435,1428,0,0,3,0,0,0,0,0,0,0,0,4,149,138,1,0,0,1,0,0,0,0,1,0,0,8,88,85,0,0,1,0,0,0,0,0,0,0,0,2,745,89,292,119,1,10,33,0,0,65,13,0,19,104,402,251,0,0,0,2,0,14,21,0,2,48,0,64
95OO,55075,49935,1331,1705,187,649,130,26,20,157,196,24,75,640,10827,10560,123,12,19,87,6,1,0,0,2,0,6,11,23681,23560,4,2,25,6,0,11,4,0,0,12,1,56,14621,14427,2,6,137,29,0,0,0,0,1,0,3,16,855,847,0,0,5,0,0,0,0,0,0,0,0,3,69,56,1,0,1,2,0,1,0,0,0,0,1,7,104,100,0,1,0,1,0,0,0,0,0,0,0,2,4612,258,1201,1677,0,489,124,0,1,156,183,0,63,460,306,127,0,7,0,35,0,13,15,1,10,12,1,85
95PP,59282,57652,601,322,92,15,25,28,33,87,47,41,33,306,13637,13574,25,0,18,0,1,5,0,0,0,0,3,11,27171,27095,0,0,12,0,0,14,6,0,1,6,0,37,15857,15773,2,0,59,1,0,0,1,0,0,0,0,21,783,779,0,0,2,0,0,0,0,0,0,0,0,2,90,80,0,0,0,0,0,0,1,0,1,0,0,8,93,86,0,0,1,0,0,0,0,0,1,0,0,5,1366,107,574,322,0,14,24,0,0,87,41,0,30,167,285,158,0,0,0,0,0,9,25,0,3,35,0,55
95QQ,31065,30819,34,10,11,38,13,20,2,11,5,11,3,88,5930,5919,1,0,2,4,0,0,0,0,0,0,0,4,22447,22413,0,0,1,1,0,13,0,0,1,0,0,18,1879,1870,0,0,7,0,0,0,0,0,0,0,0,2,425,424,0,0,1,0,0,0,0,0,0,0,0,0,77,74,0,0,0,0,0,0,0,0,3,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,191,37,33,10,0,31,13,0,0,11,0,0,3,53,101,67,0,0,0,2,0,7,2,0,1,11,0,11
95RR,32150,31787,146,24,25,4,2,14,31,12,15,4,1,85,7570,7545,13,0,4,0,0,1,2,0,0,0,0,5,17451,17414,0,0,6,0,0,7,8,0,0,0,0,16,6270,6248,0,0,13,0,0,0,0,0,0,0,0,9,390,387,0,0,2,0,0,0,0,0,0,0,0,1,38,38,0,0,0,0,0,0,0,0,0,0,0,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,236,19,133,24,0,4,2,0,0,12,13,0,1,28,154,95,0,0,0,0,0,6,21,0,2,4,0,26
95SS,114825,112324,678,247,363,42,38,83,119,44,60,128,40,659,15669,15524,62,2,39,2,1,3,0,0,0,0,2,34,76369,76033,2,0,44,1,0,43,42,0,1,59,1,143,17770,17472,1,1,270,0,0,0,0,0,1,2,0,23,2298,2287,0,0,9,0,0,0,0,0,0,2,0,0,300,248,0,0,0,1,0,8,7,0,1,0,1,34,110,102,0,0,1,0,0,0,1,0,1,0,0,5,1472,190,611,244,0,22,37,0,0,44,43,0,36,245,837,468,2,0,0,16,0,29,69,0,13,65,0,175
95TT,42883,41691,439,205,174,13,85,9,15,57,42,1,9,143,10536,10426,42,2,40,3,7,1,0,0,0,0,1,14,19186,19121,0,0,19,0,0,5,4,0,0,0,0,37,11199,11084,0,0,110,1,0,0,0,0,0,0,0,4,784,782,0,0,1,0,0,0,0,0,0,0,0,1,53,45,0,0,1,0,0,0,0,0,0,0,0,7,90,88,0,0,0,2,0,0,0,0,0,0,0,0,893,48,397,203,0,6,78,0,0,57,40,0,8,56,142,97,0,0,3,1,0,3,11,0,2,1,0,24
95UU,16423,16205,47,12,60,2,1,16,0,1,7,12,0,60,4239,4218,2,0,11,0,0,0,0,0,0,0,0,8,8184,8155,0,0,10,0,0,6,0,0,0,5,0,8,3476,3439,0,0,35,0,0,0,0,0,0,0,0,2,298,295,0,0,3,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,111,16,45,12,0,2,1,0,0,1,7,0,0,27,85,52,0,0,1,0,0,10,0,0,0,7,0,15
95VV,94839,91046,1775,716,220,73,97,83,33,143,92,25,55,481,15583,15329,175,7,12,18,3,0,0,0,1,0,13,25,35743,35620,4,1,22,0,1,36,5,0,2,3,0,49,37648,37430,1,1,181,2,1,1,0,0,3,0,0,28,1796,1792,0,0,4,0,0,0,0,0,0,0,0,0,119,107,0,0,0,0,0,0,1,0,1,0,0,10,254,246,1,0,1,0,0,0,0,0,1,0,0,5,3138,211,1592,707,0,34,92,2,0,143,65,0,42,250,558,311,2,0,0,19,0,44,27,0,19,22,0,114
95WW,81578,79775,583,30,93,15,40,198,76,15,40,75,8,630,10307,10246,33,0,11,2,4,1,0,0,2,0,0,8,61149,60836,1,0,11,1,0,50,20,0,7,41,1,181,6906,6807,0,0,67,0,0,0,0,0,1,1,0,30,1214,1207,0,0,4,0,0,0,0,0,0,0,0,3,223,202,0,0,0,1,0,1,2,0,1,0,0,16,61,55,0,0,0,0,0,0,0,0,0,0,0,6,912,111,549,30,0,10,36,3,0,15,11,0,7,140,806,311,0,0,0,1,0,143,54,0,18,33,0,246
95XX,76068,74776,298,32,28,25,39,81,82,32,20,83,26,546,7748,7701,29,0,4,0,4,0,0,0,0,0,0,10,60645,60431,5,0,7,2,2,49,7,0,2,8,0,132,3919,3895,0,0,15,0,0,0,1,0,1,2,0,5,1813,1802,0,0,2,0,0,0,0,0,0,1,0,8,340,304,1,0,0,0,0,0,2,0,1,0,0,32,78,75,0,0,0,0,0,0,0,0,0,0,0,3,745,142,262,32,0,20,33,1,0,32,9,0,25,189,780,426,1,0,0,3,0,31,72,0,7,72,1,167
95YY,49120,47566,641,110,120,18,110,22,38,34,58,10,202,191,11037,10874,96,1,31,1,8,1,0,0,0,0,13,12,22128,22049,5,0,8,0,0,8,13,1,0,8,1,35,13529,13418,3,0,79,1,0,0,0,0,0,0,7,21,788,785,0,0,0,0,0,0,0,0,0,0,0,3,96,91,1,0,0,1,0,0,1,0,0,0,0,2,136,134,0,0,0,0,0,0,0,0,0,0,0,2,1184,74,536,109,1,11,102,3,0,33,52,0,181,82,222,141,0,0,1,4,0,10,24,0,6,2,0,34
95ZZ,38209,37681,192,8,118,2,1,13,11,11,14,10,57,91,9391,9325,24,0,30,0,0,0,0,0,0,0,3,9,16737,16693,0,0,21,0,0,4,1,0,0,0,0,18,11131,11057,0,0,65,0,0,1,0,0,0,0,0,8,436,434,0,0,1,0,0,1,0,0,0,0,0,0,47,46,0,0,0,0,0,0,0,0,0,0,0,1,36,34,0,0,0,0,0,0,0,0,0,0,0,2,313,25,168,8,0,2,1,0,0,11,13,0,54,31,118,67,0,0,1,0,0,7,10,0,1,10,0,22
