GeographyCode,DC4103NI0001,DC4103NI0002,DC4103NI0003,DC4103NI0004,DC4103NI0005,DC4103NI0006,DC4103NI0007,DC4103NI0008,DC4103NI0009,DC4103NI0010,DC4103NI0011,DC4103NI0012,DC4103NI0013,DC4103NI0014,DC4103NI0015,DC4103NI0016,DC4103NI0017,DC4103NI0018,DC4103NI0019,DC4103NI0020,DC4103NI0021,DC4103NI0022,DC4103NI0023,DC4103NI0024,DC4103NI0025,DC4103NI0026,DC4103NI0027,DC4103NI0028,DC4103NI0029,DC4103NI0030,DC4103NI0031,DC4103NI0032,DC4103NI0033,DC4103NI0034,DC4103NI0035,DC4103NI0036,DC4103NI0037,DC4103NI0038,DC4103NI0039,DC4103NI0040,DC4103NI0041,DC4103NI0042,DC4103NI0043,DC4103NI0044,DC4103NI0045,DC4103NI0046,DC4103NI0047,DC4103NI0048,DC4103NI0049,DC4103NI0050,DC4103NI0051,DC4103NI0052,DC4103NI0053,DC4103NI0054,DC4103NI0055,DC4103NI0056,DC4103NI0057,DC4103NI0058,DC4103NI0059,DC4103NI0060,DC4103NI0061,DC4103NI0062,DC4103NI0063,DC4103NI0064,DC4103NI0065,DC4103NI0066,DC4103NI0067,DC4103NI0068,DC4103NI0069,DC4103NI0070,DC4103NI0071,DC4103NI0072,DC4103NI0073,DC4103NI0074,DC4103NI0075,DC4103NI0076,DC4103NI0077,DC4103NI0078,DC4103NI0079,DC4103NI0080,DC4103NI0081,DC4103NI0082,DC4103NI0083,DC4103NI0084,DC4103NI0085,DC4103NI0086,DC4103NI0087,DC4103NI0088,DC4103NI0089,DC4103NI0090,DC4103NI0091,DC4103NI0092,DC4103NI0093,DC4103NI0094,DC4103NI0095,DC4103NI0096
WELB,109206,25406,44618,28686,7308,3188,29406,13595,14698,911,128,74,10956,5704,4991,207,31,23,18450,7891,9707,704,97,51,71091,9781,26855,25461,6298,2696,5810,645,3753,1329,68,15,12160,1011,5047,5354,619,129,25184,1206,7484,12926,2549,1019,10493,500,2414,3636,2555,1388,11233,4815,5466,765,154,33,6211,1604,2691,1451,353,112,8709,2030,3065,2314,882,418,3602,641,1139,1062,503,257,71,36,17,7,6,5,590,196,283,96,14,1,4446,1157,1626,1149,359,155
UKN01,120595,48321,49528,18707,3140,899,42401,24555,17123,598,69,56,14555,9890,4559,86,3,17,27846,14665,12564,512,66,39,64315,18479,27537,15426,2290,583,6375,1577,3742,1019,27,10,13231,2490,6462,3968,262,49,16727,2298,6661,6713,847,208,6962,948,2501,2259,977,277,14184,8117,5371,609,65,22,6836,3049,2800,858,112,17,13879,5287,4868,2683,781,260,3542,1312,1414,612,163,41,1592,627,376,333,165,91,615,359,202,48,4,2,8130,2989,2876,1690,449,126
UKN02,156882,29952,67854,46624,9430,3022,43525,17319,24750,1227,149,80,18382,9519,8566,248,34,15,25143,7800,16184,979,115,65,105299,11107,40232,42844,8472,2644,12969,1374,8105,3220,225,45,24240,1387,9583,11947,1089,234,34999,1469,9375,19945,3246,964,12662,514,2657,4746,3430,1315,13407,4704,7415,1112,144,32,7022,1659,3097,1874,338,54,8058,1526,2872,2553,809,298,3200,528,1052,1036,419,165,66,29,16,10,7,4,503,180,224,92,7,0,4289,789,1580,1415,376,129
UKN03,170132,30921,69934,51506,12679,5092,44655,18177,24573,1563,235,107,18500,9122,8949,341,56,32,26155,9055,15624,1222,179,75,115487,11002,41928,46938,11235,4384,12495,1216,7779,3199,242,59,25238,1476,9472,12618,1353,319,40313,1558,10562,22161,4424,1608,15403,512,2920,5360,4408,2203,13889,4554,7737,1272,263,63,8149,1686,3458,2328,545,132,9990,1742,3433,3005,1209,601,4092,522,1210,1324,690,346,19,9,4,5,0,1,766,248,371,126,16,5,5113,963,1848,1550,503,249
UKN04,109318,26581,45925,27507,6626,2679,29564,13919,14592,905,102,46,11182,5900,5044,192,31,15,18382,8019,9548,713,71,31,70880,10525,28183,24328,5617,2227,6651,738,4319,1472,93,29,12939,1112,5526,5589,578,134,23734,1301,7723,11642,2225,843,10014,532,2523,3533,2306,1120,11501,5144,5475,721,133,28,6041,1698,2617,1371,282,73,8874,2137,3150,2274,907,406,3630,677,1134,1061,518,240,344,94,93,80,51,26,585,201,284,85,13,2,4315,1165,1639,1048,325,138
UKN05,146348,23884,57775,45852,12352,6485,36269,14194,20230,1461,257,127,15482,7325,7725,336,59,37,20787,6869,12505,1125,198,90,99095,7907,33812,41018,10742,5616,8336,652,5311,2233,118,22,17173,988,6380,8677,944,184,39090,1294,9656,21484,4482,2174,15295,400,2546,5121,4288,2940,11247,3198,6531,1169,257,92,7954,1375,3388,2334,653,204,10984,1783,3733,3373,1353,742,4516,503,1300,1499,766,448,34,10,15,3,5,1,810,207,401,177,23,2,5624,1063,2017,1694,559,291
95AA,20064,3616,8288,6074,1450,636,5093,2035,2853,166,25,14,1866,886,930,39,7,4,3227,1149,1923,127,18,10,13696,1369,5021,5512,1255,539,1289,132,790,332,29,6,3003,194,1138,1481,154,36,5076,216,1440,2702,499,219,1773,62,358,609,489,255,1667,566,910,156,28,7,888,199,385,232,56,16,1275,212,414,396,170,83,585,73,157,200,100,55,8,4,1,3,0,0,60,16,33,10,1,0,622,119,223,183,69,28
95BB,31514,5233,12903,10035,2457,886,8310,3199,4721,326,45,19,3640,1806,1728,89,12,5,4670,1393,2993,237,33,14,21637,1794,7641,9195,2230,777,2784,264,1655,786,61,18,5413,274,2032,2737,302,68,7009,229,1581,4072,872,255,2786,74,484,974,849,405,2307,667,1356,220,53,11,1338,286,533,406,93,20,1567,240,541,514,182,90,616,66,181,223,98,48,1,0,1,0,0,0,119,43,58,16,1,1,831,131,301,275,83,41
95CC,21594,3210,8497,7059,1900,928,5464,2000,3224,192,34,14,2412,1091,1257,49,12,3,3052,909,1967,143,22,11,14810,1035,4815,6461,1682,817,1385,84,849,424,21,7,2751,138,930,1508,150,25,5614,147,1254,3240,663,310,2258,60,323,735,711,429,1682,444,977,203,43,15,1120,162,482,351,94,31,1320,175,458,406,184,97,540,50,139,188,100,63,3,1,2,0,0,0,104,20,50,28,5,1,673,104,267,190,79,33
95DD,24817,4284,10037,7609,2011,876,6381,2536,3566,222,39,18,2849,1344,1440,55,4,6,3532,1192,2126,167,35,12,16887,1496,5950,6919,1765,757,1996,166,1289,490,45,6,3704,193,1347,1902,207,55,5657,226,1353,3142,653,283,2429,78,397,832,737,385,1819,609,987,176,38,9,1282,224,577,377,85,19,1549,252,521,468,207,101,598,72,171,194,105,56,4,3,1,0,0,0,137,34,60,34,7,2,810,143,289,240,95,43
95EE,11508,1778,4731,3649,911,439,2741,1064,1551,112,13,1,1192,545,620,24,2,1,1549,519,931,88,11,0,7931,591,2896,3283,780,381,819,66,552,175,20,6,1665,80,631,840,88,26,2995,95,834,1588,329,149,1171,24,228,431,300,188,669,209,374,72,10,4,612,117,277,177,33,8,836,123,284,254,118,57,362,34,92,131,68,37,2,0,0,1,0,1,86,22,50,9,3,2,386,67,142,113,47,17
95FF,18303,2596,7138,6349,1570,650,4613,1648,2714,211,33,7,1862,907,916,32,6,1,2751,741,1798,179,27,6,12732,819,4122,5792,1432,567,1211,90,786,304,25,6,2750,112,901,1515,186,36,4901,88,1062,2962,574,215,1697,31,233,599,556,278,1330,375,792,132,23,8,843,123,348,280,68,24,958,129,302,346,105,76,330,33,84,136,45,32,0,0,0,0,0,0,98,33,49,13,2,1,530,63,169,197,58,43
95GG,120595,48321,49528,18707,3140,899,42401,24555,17123,598,69,56,14555,9890,4559,86,3,17,27846,14665,12564,512,66,39,64315,18479,27537,15426,2290,583,6375,1577,3742,1019,27,10,13231,2490,6462,3968,262,49,16727,2298,6661,6713,847,208,6962,948,2501,2259,977,277,14184,8117,5371,609,65,22,6836,3049,2800,858,112,17,13879,5287,4868,2683,781,260,3542,1312,1414,612,163,41,1592,627,376,333,165,91,615,359,202,48,4,2,8130,2989,2876,1690,449,126
95HH,16200,3432,6989,4507,979,293,4674,2089,2439,126,14,6,1950,1113,806,26,3,2,2724,976,1633,100,11,4,10768,1204,4281,4144,879,260,1287,134,863,275,9,6,2514,160,1084,1145,106,19,3464,157,932,1924,353,98,1329,59,269,506,369,126,1513,525,837,130,17,4,661,169,296,164,25,7,758,139,269,237,86,27,291,45,91,97,43,15,6,1,3,1,1,0,34,10,19,5,0,0,427,83,156,134,42,12
95II,27733,5020,12435,8350,1504,424,8210,3127,4872,183,15,13,3658,1880,1739,32,4,3,4552,1247,3133,151,11,10,18172,1688,7054,7673,1381,376,2492,328,1599,525,34,6,4151,215,1721,2051,130,34,6219,223,1624,3700,553,119,2193,72,477,860,582,202,1808,561,1047,177,17,6,1309,289,586,360,65,9,1351,205,509,494,108,35,469,41,186,179,46,17,9,7,1,0,0,1,108,39,54,12,3,0,765,118,268,303,59,17
95JJ,23508,4986,10032,6454,1499,537,6715,2806,3613,260,27,9,2858,1375,1423,47,8,5,3857,1431,2190,213,19,4,15008,1802,5824,5689,1261,432,1879,159,1177,504,33,6,3459,240,1386,1627,167,39,4794,281,1408,2460,497,148,1905,92,425,681,484,223,1904,756,984,134,25,5,1067,274,444,283,55,11,1785,378,595,505,211,96,560,98,151,173,96,42,283,60,81,73,48,21,110,34,52,23,1,0,832,186,311,236,66,33
95KK,12904,1960,5024,4056,1187,677,3023,1177,1663,139,28,16,1312,648,621,30,10,3,1711,529,1042,109,18,13,8959,653,3054,3629,1031,592,762,49,483,221,7,2,1524,82,560,782,84,16,3523,92,907,1850,446,228,1454,26,246,452,414,316,973,269,560,114,19,11,723,135,298,210,61,19,922,130,307,288,128,69,414,35,117,137,80,45,3,0,2,0,1,0,58,17,26,15,0,0,447,78,162,136,47,24
95LL,35931,7946,15489,9633,2119,744,9528,4379,4836,265,33,15,3723,2008,1663,39,8,5,5805,2371,3173,226,25,10,24119,3046,9746,8803,1889,635,2336,277,1512,504,34,9,4851,398,2044,2181,185,43,8697,505,2880,4316,763,233,3114,137,757,1130,762,328,3373,1271,1796,248,47,11,1748,458,757,424,98,11,2284,521,907,565,197,94,956,172,350,249,129,56,3,0,0,2,0,1,155,60,80,13,1,1,1170,289,477,301,67,36
95MM,40779,12839,17083,8367,1853,637,11366,6151,4924,240,33,18,3639,2169,1402,54,10,4,7727,3982,3522,186,23,14,25568,5496,10726,7317,1536,493,1927,311,1241,357,9,9,3924,490,1859,1402,149,24,8047,619,2994,3638,597,199,3477,280,1091,1215,650,241,5740,2950,2439,302,45,4,2453,846,1102,403,86,16,3845,1192,1433,810,284,126,1706,407,603,432,185,79,55,31,12,5,3,4,182,80,83,16,3,0,1902,674,735,357,93,43
95NN,26206,4373,10485,8233,2166,949,6888,2661,3881,274,47,25,2957,1295,1574,66,13,9,3931,1366,2307,208,34,16,17647,1461,6074,7435,1869,808,1824,154,1079,550,33,8,3443,162,1208,1829,194,50,6293,194,1482,3556,773,288,2474,67,455,832,706,414,2241,655,1282,237,53,14,1372,229,568,431,110,34,1671,251,530,524,250,116,723,71,192,242,145,73,2,2,0,0,0,0,144,40,69,31,4,0,802,138,269,251,101,43
95OO,20270,3245,8139,6273,1671,942,4856,1840,2755,198,40,23,2028,935,1023,55,8,7,2828,905,1732,143,32,16,13602,1045,4762,5549,1428,818,1109,91,724,269,22,3,2312,132,884,1147,127,22,5490,215,1429,2974,556,316,2024,35,316,652,582,439,1610,422,968,172,35,13,1057,150,441,335,106,25,1812,360,622,526,203,101,789,136,242,239,114,58,4,2,1,0,1,0,118,28,61,26,3,0,901,194,318,261,85,43
95PP,23069,3702,9098,7403,1959,907,6356,2371,3651,276,35,23,2716,1239,1402,63,4,8,3640,1132,2249,213,31,15,14998,1094,4903,6528,1704,769,1342,94,846,379,22,1,3055,157,1062,1591,204,41,5644,183,1213,3300,687,261,2245,66,358,756,652,413,1488,398,894,152,32,12,1224,196,530,350,107,41,1715,237,544,599,220,115,623,57,164,237,105,60,13,2,5,2,3,1,155,38,79,32,6,0,924,140,296,328,106,54
95QQ,13297,2873,5594,3573,906,351,3842,1719,2002,99,13,9,1603,876,698,21,6,2,2239,843,1304,78,7,7,8769,1017,3374,3282,795,301,1055,133,668,233,15,6,2074,143,802,973,125,31,2680,100,764,1411,290,115,1130,63,236,384,309,138,1152,411,614,103,21,3,678,167,290,178,35,8,686,137,218,192,98,41,284,35,75,80,68,26,1,0,1,0,0,0,53,22,22,9,0,0,348,80,120,103,30,15
95RR,12098,2359,5013,3503,870,353,2811,1233,1478,86,8,6,1086,563,500,20,3,0,1725,670,978,66,5,6,8443,979,3241,3166,744,313,693,67,472,145,7,2,1579,126,661,712,65,15,3066,127,962,1585,273,119,1298,47,289,450,348,164,1141,440,595,84,19,3,666,172,262,190,32,10,844,147,294,251,118,34,361,40,110,116,72,23,0,0,0,0,0,0,50,16,24,10,0,0,433,91,160,125,46,11
95SS,45723,8752,19170,13646,3025,1130,11384,4368,6571,358,56,31,4480,2207,2181,74,15,3,6904,2161,4390,284,41,28,31580,3784,11655,12502,2672,967,3354,332,2005,919,79,19,6746,401,2563,3359,350,73,10896,507,2986,5986,1048,369,3866,157,844,1361,1029,475,4645,1849,2385,347,53,11,2073,538,872,530,113,20,2759,600,944,786,297,132,1268,274,393,346,173,82,16,9,3,1,1,2,158,60,66,30,2,0,1317,257,482,409,121,48
95TT,15037,2152,5511,5055,1458,861,3174,1288,1702,148,23,13,1445,717,686,31,7,4,1729,571,1016,117,16,9,10694,701,3451,4551,1250,741,855,70,553,217,12,3,1724,80,634,905,87,18,4564,118,1107,2489,554,296,1771,43,271,582,496,379,936,257,540,98,27,14,844,133,346,260,74,31,1169,163,358,356,185,107,492,40,107,174,106,65,1,1,0,0,0,0,98,31,48,16,3,0,578,91,203,166,76,42
95UU,6608,1262,2832,1834,458,222,1950,784,1069,85,9,3,852,393,435,20,3,1,1098,391,634,65,6,2,4220,420,1618,1600,392,190,502,37,334,119,8,4,788,50,322,368,40,8,1412,51,397,746,145,73,639,20,132,229,164,94,503,175,285,31,6,6,376,87,148,107,29,5,438,58,145,149,57,29,160,12,44,63,28,13,2,1,0,1,0,0,54,9,28,14,3,0,222,36,73,71,26,16
95VV,35031,6466,14316,10293,2586,1370,8504,3559,4547,321,57,20,3609,1817,1713,65,9,5,4895,1742,2834,256,48,15,23660,2404,8720,9123,2237,1176,1866,189,1205,447,20,5,3729,287,1512,1735,160,35,9248,390,2559,4853,968,478,3594,132,714,1256,888,604,3238,995,1852,301,71,19,1985,411,878,531,130,35,2867,503,1049,849,292,174,1227,134,403,393,189,108,9,3,5,1,0,0,177,51,87,35,4,0,1454,315,554,420,99,66
95WW,33971,6933,14839,9743,1866,590,9265,4011,4954,256,27,17,3977,2261,1665,44,4,3,5288,1750,3289,212,23,14,23018,2601,9265,8968,1672,512,2691,325,1802,521,35,8,5155,321,2162,2444,192,36,7519,304,2104,4275,643,193,2789,142,623,1070,694,260,3247,1121,1848,243,30,5,1617,388,726,415,78,10,1688,321,620,519,167,61,634,91,218,215,81,29,31,10,8,7,5,1,105,43,41,20,1,0,918,177,353,277,80,31
95XX,33255,5815,14421,10378,2056,585,9992,3724,5914,304,37,13,4317,2058,2175,72,8,4,5675,1666,3739,232,29,9,21761,1830,7977,9557,1868,529,3145,255,1836,980,68,6,5674,290,2053,2948,311,72,6901,278,1729,4060,649,185,2485,84,444,949,756,252,2194,648,1298,215,27,6,1362,275,617,405,57,8,1502,261,530,517,151,43,538,77,164,199,76,22,4,2,1,1,0,0,98,28,44,25,1,0,862,154,321,292,74,21
95YY,18443,3149,7190,5713,1591,800,4892,1959,2688,187,40,18,1960,878,1023,43,9,7,2932,1081,1665,144,31,11,12372,975,4107,5177,1410,703,1017,75,651,276,14,1,2078,112,798,1009,132,27,5007,149,1187,2778,608,285,1949,38,318,688,545,360,1320,413,740,129,30,8,1001,188,413,297,81,22,1179,215,395,349,141,79,431,51,128,131,72,49,1,1,0,0,0,0,100,22,50,25,2,1,647,141,217,193,67,29
95ZZ,14817,3357,6234,3700,1035,491,3981,1881,1957,122,12,9,1555,855,664,27,5,4,2426,1026,1293,95,7,5,9710,1237,3878,3273,904,418,831,98,543,172,16,2,1524,126,667,640,69,22,3420,128,1128,1625,384,155,1524,69,358,527,360,210,1544,614,798,98,28,6,867,202,384,211,47,23,1126,239,399,305,119,64,481,86,134,146,69,46,2,2,0,0,0,0,103,40,47,13,3,0,540,111,218,146,47,18
