GeographyCode,DC2220NI0001,DC2220NI0002,DC2220NI0003,DC2220NI0004,DC2220NI0005,DC2220NI0006,DC2220NI0007,DC2220NI0008,DC2220NI0009,DC2220NI0010,DC2220NI0011,DC2220NI0012,DC2220NI0013,DC2220NI0014,DC2220NI0015,DC2220NI0016,DC2220NI0017,DC2220NI0018,DC2220NI0019,DC2220NI0020,DC2220NI0021,DC2220NI0022,DC2220NI0023,DC2220NI0024,DC2220NI0025,DC2220NI0026,DC2220NI0027,DC2220NI0028,DC2220NI0029,DC2220NI0030,DC2220NI0031,DC2220NI0032,DC2220NI0033,DC2220NI0034,DC2220NI0035,DC2220NI0036,DC2220NI0037,DC2220NI0038,DC2220NI0039,DC2220NI0040,DC2220NI0041,DC2220NI0042,DC2220NI0043,DC2220NI0044,DC2220NI0045,DC2220NI0046,DC2220NI0047,DC2220NI0048,DC2220NI0049,DC2220NI0050,DC2220NI0051,DC2220NI0052,DC2220NI0053,DC2220NI0054,DC2220NI0055,DC2220NI0056,DC2220NI0057,DC2220NI0058,DC2220NI0059,DC2220NI0060,DC2220NI0061,DC2220NI0062,DC2220NI0063,DC2220NI0064,DC2220NI0065,DC2220NI0066,DC2220NI0067,DC2220NI0068,DC2220NI0069,DC2220NI0070,DC2220NI0071,DC2220NI0072,DC2220NI0073,DC2220NI0074,DC2220NI0075,DC2220NI0076,DC2220NI0077,DC2220NI0078,DC2220NI0079,DC2220NI0080,DC2220NI0081,DC2220NI0082,DC2220NI0083,DC2220NI0084,DC2220NI0085,DC2220NI0086,DC2220NI0087,DC2220NI0088,DC2220NI0089,DC2220NI0090,DC2220NI0091,DC2220NI0092,DC2220NI0093,DC2220NI0094,DC2220NI0095,DC2220NI0096,DC2220NI0097,DC2220NI0098,DC2220NI0099,DC2220NI0100,DC2220NI0101,DC2220NI0102,DC2220NI0103,DC2220NI0104
WELB,294417,67757,127275,97534,2095,596,1633,2538,90547,22023,64876,4254,31,4,94,354,128972,26345,29528,74970,116,28,167,817,84536,21489,42019,22249,44,11,70,255,2650,529,1929,200,3,2,5,9,1356,306,974,86,0,0,1,4,223,36,176,12,0,0,0,3,651,18,37,39,2,1,570,2,3895,335,26,27,2045,582,884,4,2356,266,11,13,2037,8,21,3,599,16,3,1,6,569,4,0,940,53,12,13,2,5,859,1,2195,91,425,319,6,9,24,1687
UKN01,280962,45310,162711,66716,3697,271,2979,6570,121272,20327,97739,4444,55,5,177,963,97682,14558,32472,53517,136,18,184,636,75356,12163,52155,12981,69,2,159,372,2538,326,2069,100,4,1,31,51,1474,243,1198,44,0,0,3,13,282,39,234,14,0,0,3,0,1540,53,97,58,3,0,1385,11,5709,513,62,26,3623,257,1249,12,4073,397,26,7,3614,2,23,10,262,5,0,1,1,254,2,0,1374,111,36,18,8,1,1224,2,7043,420,1270,406,16,7,148,5452
UKN02,390597,54272,290763,45023,2195,456,1902,4966,254009,35027,214001,7973,53,15,224,1322,60203,7177,25351,30159,123,24,133,530,119890,16828,93472,12223,75,11,161,679,4735,537,4095,88,12,3,10,31,2490,314,2152,32,0,0,3,18,496,59,427,11,0,0,2,7,1042,47,116,32,6,1,892,0,3471,238,46,17,2115,425,645,9,2351,203,17,6,2106,3,15,8,444,12,0,3,2,422,5,0,676,23,29,8,7,0,625,1,4686,135,1275,332,8,7,91,3581
UKN03,438823,84126,289090,60031,4423,1817,3887,3879,256103,48715,201714,7995,73,42,225,1088,81060,13951,29990,39421,146,89,211,554,134976,26873,92961,17606,91,31,206,523,4735,717,3865,129,10,8,18,43,2351,366,1939,51,2,1,0,14,456,58,382,18,2,0,0,2,1626,122,88,44,20,7,1376,9,8972,753,54,50,4298,1731,2099,10,4945,580,25,32,4284,15,24,0,1826,72,11,5,7,1712,21,1,2201,101,18,13,7,4,2054,9,3683,137,1179,295,18,13,99,2610
UKN04,288597,65367,142688,79633,1932,148,1116,2510,115216,27376,84245,4441,24,1,105,429,105185,20439,25378,61056,102,11,127,611,83284,20266,46357,17930,44,6,56,273,2777,515,2118,148,11,0,2,11,1670,358,1239,79,0,0,4,7,264,37,220,10,0,0,0,2,609,22,39,40,1,1,517,5,2829,315,24,15,1897,141,429,12,2245,293,15,12,1894,2,22,9,149,6,3,1,0,139,0,0,435,16,6,2,3,0,407,3,2305,115,497,252,2,4,30,1736
UKN05,411884,92353,185161,124423,5493,4331,4987,3242,129977,32020,93663,5268,64,29,160,440,169260,33513,44183,94355,206,197,489,1217,119579,29615,62031,29774,83,66,193,369,3256,682,2292,245,20,11,20,12,1389,276,1045,76,0,0,3,8,274,44,205,24,0,0,3,2,1895,155,61,52,18,11,1612,15,13436,940,53,66,5386,4195,2812,5,6156,666,32,28,5365,38,34,3,4336,114,6,18,10,4141,50,0,2944,160,15,20,11,16,2728,2,3038,134,675,468,18,58,216,2040
95AA,53428,9467,35149,7833,606,317,487,664,29509,5257,23531,999,4,11,23,160,10746,1611,4118,5364,17,11,15,80,16218,3059,11383,2081,9,3,17,48,807,105,685,13,0,0,3,8,340,43,290,9,0,0,0,3,71,6,64,1,0,0,0,0,134,14,14,4,7,0,98,3,1337,91,2,2,588,301,352,1,654,67,1,1,585,0,0,0,310,9,0,0,1,298,1,1,373,15,1,1,2,3,351,0,605,15,151,47,3,1,8,468
95BB,78078,13301,59992,4999,182,162,338,632,57480,9530,46796,1738,18,6,52,265,5873,883,3063,2218,16,8,13,38,24900,4235,19278,1908,18,2,25,102,912,132,764,13,2,0,2,9,465,67,392,7,0,0,0,3,109,13,94,1,0,0,0,1,137,6,16,3,0,0,119,0,510,23,6,5,169,156,152,3,186,16,2,3,168,0,0,0,163,2,1,1,1,155,3,0,161,5,3,1,0,1,149,3,533,20,207,34,0,0,16,370
95CC,59340,12243,30530,15450,524,744,597,421,26358,5699,19967,938,4,13,34,90,19197,3561,4483,11541,20,63,33,105,16089,3546,9140,3650,7,5,43,56,435,83,318,25,0,3,6,3,194,28,153,14,0,0,1,1,52,6,38,9,0,0,0,0,125,2,11,9,0,0,109,1,1799,125,6,6,514,721,428,0,592,72,4,4,508,1,3,0,760,34,2,1,1,717,6,0,447,19,0,1,5,3,419,0,399,14,115,48,2,10,4,281
95DD,64044,14016,43624,5153,842,47,894,480,44165,9759,33665,1072,13,0,40,151,7105,1329,3003,3028,23,0,26,48,17891,3883,12644,1648,10,1,29,74,490,70,407,10,1,0,1,6,343,65,271,7,0,0,0,2,41,5,32,4,0,0,0,0,94,3,13,2,0,0,78,0,1854,198,12,11,829,46,763,1,999,159,8,5,827,0,3,0,53,3,0,0,1,46,3,0,802,36,4,6,1,0,757,1,466,18,170,21,5,0,3,334
95EE,31224,8383,19149,3608,232,6,113,104,18907,5051,13538,406,2,0,26,24,5126,1089,1829,2348,9,0,1,12,9652,2750,5854,1144,16,0,8,15,341,80,242,11,9,0,0,0,166,30,134,2,0,0,1,0,32,4,28,1,0,0,0,0,28,2,2,0,0,0,23,1,351,42,2,1,230,6,63,7,282,38,2,1,227,0,8,6,6,0,0,0,0,6,0,0,63,4,0,0,3,0,55,1,146,24,67,8,0,0,2,65
95FF,48339,9473,32833,6014,305,94,162,349,29559,5757,23183,859,5,3,17,121,7815,1363,2963,3738,14,5,17,64,15382,2997,10671,1995,12,5,18,62,463,71,378,15,2,1,1,3,219,34,178,6,2,0,0,2,52,7,41,2,2,0,0,0,70,3,7,3,0,0,59,0,506,53,5,4,290,88,67,0,339,43,3,3,289,0,1,0,93,5,0,1,0,88,0,0,74,5,2,0,1,0,66,0,304,12,119,43,1,1,2,208
95GG,280962,45310,162711,66716,3697,271,2979,6570,121272,20327,97739,4444,55,5,177,963,97682,14558,32472,53517,136,18,184,636,75356,12163,52155,12981,69,2,159,372,2538,326,2069,100,4,1,31,51,1474,243,1198,44,0,0,3,13,282,39,234,14,0,0,3,0,1540,53,97,58,3,0,1385,11,5709,513,62,26,3623,257,1249,12,4073,397,26,7,3614,2,23,10,262,5,0,1,1,254,2,0,1374,111,36,18,8,1,1224,2,7043,420,1270,406,16,7,148,5452
95HH,39114,5898,31279,1876,169,20,159,395,29941,4380,25117,713,6,0,19,130,2090,250,1196,768,2,0,8,40,11845,1789,9510,726,11,3,13,62,439,56,375,8,6,0,1,2,300,36,264,1,0,0,0,1,63,8,55,0,0,0,0,4,97,6,12,1,0,0,78,0,252,17,6,2,163,17,50,0,182,16,3,2,163,0,0,0,17,0,0,0,0,17,0,0,53,1,3,0,0,0,50,0,352,7,119,26,0,0,2,263
95II,67242,8240,51008,7869,397,51,321,994,44511,5732,37839,1396,5,1,43,248,9853,826,4217,5288,14,0,27,95,21050,2521,16841,2174,12,0,24,114,569,73,489,10,0,0,1,1,369,46,319,8,0,0,2,5,67,11,54,2,0,0,1,0,185,6,15,10,0,1,159,0,577,42,10,1,382,47,99,5,417,30,5,0,377,0,4,5,51,4,0,0,0,47,0,0,109,8,5,1,5,0,95,0,1004,39,276,71,4,2,16,743
95JJ,59067,12508,39465,6407,799,22,313,679,36854,7922,28082,1193,7,0,37,164,8559,1476,3469,3852,23,0,41,103,18662,3843,13105,2042,7,1,18,88,694,113,568,22,1,0,0,3,425,98,323,5,0,0,1,3,70,9,59,2,0,0,0,0,157,10,15,6,0,0,133,2,1085,142,12,5,789,22,116,0,942,138,9,4,789,1,2,0,23,2,0,0,0,21,0,0,120,2,3,1,0,0,114,0,627,20,164,45,1,0,16,476
95KK,37013,9009,19149,8192,257,150,682,212,13796,3389,10105,395,1,2,8,34,12417,2670,4129,5848,16,3,46,66,11890,3219,6542,2316,2,2,23,23,287,84,193,10,0,0,1,1,131,32,91,8,0,0,0,1,16,1,13,2,0,0,0,0,281,31,11,2,10,0,229,0,846,53,4,6,245,139,400,0,268,19,3,2,243,1,0,0,144,5,0,1,0,138,0,0,434,29,1,3,2,0,400,0,227,7,70,11,1,7,27,131
95LL,93023,17255,53871,17935,2111,1045,1524,925,44887,8347,35388,1462,28,12,45,218,23807,4077,7284,12825,56,44,97,136,26704,5565,16925,4592,35,8,78,86,793,141,596,39,5,4,11,6,397,72,316,10,0,1,0,2,71,13,56,3,0,0,0,0,970,80,23,15,9,7,842,3,3988,333,19,26,2059,1006,554,0,2363,257,7,20,2052,14,20,0,1065,46,9,3,4,992,13,0,560,30,3,3,3,0,521,0,984,44,267,50,6,9,49,686
95MM,107877,20685,39838,47115,522,65,421,1165,25560,5220,19010,1502,14,1,19,148,59367,10474,11164,38536,47,4,59,318,26528,5626,12446,8907,20,1,18,89,951,161,720,70,1,0,0,6,530,102,386,44,0,0,0,3,71,8,60,5,0,0,0,1,334,10,15,31,1,1,281,1,741,68,4,6,502,62,98,3,581,65,1,5,502,1,5,3,64,1,2,0,0,61,0,0,96,2,1,1,0,0,93,0,1039,36,161,128,0,2,7,835
95NN,69731,13953,40321,15740,339,142,321,641,28037,5487,21626,1300,2,7,28,114,22465,4115,8029,10959,19,21,37,158,23791,5092,14638,4578,4,12,26,105,910,131,746,33,0,3,0,10,307,41,257,10,0,0,0,2,80,10,67,7,0,0,0,1,125,4,8,12,4,0,104,3,672,51,9,2,327,127,154,5,366,36,4,0,327,1,0,0,134,6,1,0,0,126,1,0,172,9,4,2,0,0,153,5,609,24,180,87,3,2,17,424
95OO,57852,12543,25027,16005,1301,1913,1650,474,17866,4550,12744,656,13,7,33,52,22423,4402,6026,12148,37,74,184,185,15669,3830,8228,3806,9,32,37,50,372,76,247,27,10,6,7,3,147,39,104,2,0,0,1,2,29,8,17,0,0,0,3,1,971,88,11,18,6,11,828,13,4010,225,14,23,1289,1849,615,3,1494,154,9,7,1286,23,16,2,1904,44,3,14,2,1818,25,0,612,27,2,2,1,8,574,1,569,22,99,75,0,25,135,300
95PP,61805,15364,28475,17027,644,369,453,472,22994,5889,16181,1108,7,3,34,66,22300,5041,5127,12428,28,15,55,144,18252,4967,9283,4235,17,1,29,47,793,166,562,74,1,2,1,0,234,54,173,11,0,0,0,0,43,4,36,2,0,0,0,1,173,3,13,2,0,0,160,0,1281,54,4,4,634,359,227,0,675,37,1,2,628,5,2,0,365,7,0,0,5,349,4,0,241,10,3,2,1,5,221,0,453,18,101,65,2,6,10,330
95QQ,32180,6661,23300,2357,38,10,161,188,22466,4578,17525,565,3,3,20,59,3249,573,1530,1289,1,0,6,30,10090,2042,7422,804,3,0,13,46,360,67,289,6,0,0,0,1,280,44,235,2,0,0,0,0,32,4,28,0,0,0,0,0,96,12,7,5,0,0,76,0,105,4,1,0,36,7,57,0,38,2,0,0,36,0,0,0,8,1,0,0,0,7,0,0,59,1,1,0,0,0,57,0,182,4,85,13,0,0,4,120
95RR,33536,8551,18145,6842,140,26,81,238,14163,3491,10289,472,1,0,8,45,10718,2474,3425,4979,15,6,6,83,10286,2863,5829,1738,0,2,1,21,291,54,229,9,0,0,0,0,178,44,131,4,0,0,0,0,41,5,36,1,0,0,0,0,29,0,2,1,0,0,26,1,231,16,3,0,139,26,46,1,159,14,1,0,139,0,5,0,29,2,1,0,0,26,0,0,43,0,1,0,0,0,41,1,202,19,35,32,0,0,1,154
95SS,120165,18624,80594,20873,698,309,607,1283,66767,10221,55097,2248,17,11,55,342,29630,4200,10802,15572,53,23,42,187,34433,5463,25104,4676,21,4,41,167,1547,180,1334,26,0,3,3,10,750,90,657,4,0,0,1,2,158,18,135,5,0,0,1,1,305,20,33,11,6,0,255,0,1326,92,12,8,666,291,259,3,759,79,4,2,663,3,6,2,306,8,0,3,2,288,5,0,261,5,8,3,1,0,248,1,1234,32,355,118,4,5,25,935
95TT,45038,12085,20343,12328,420,238,272,288,14143,4252,9582,403,0,0,9,37,19222,4592,5668,9368,30,17,24,124,13414,3701,6845,3112,5,3,6,43,295,75,197,22,0,0,0,1,148,30,113,4,0,0,0,2,18,1,16,1,0,0,0,0,39,2,2,0,1,0,33,1,936,72,2,0,415,232,215,1,466,50,1,0,415,0,0,0,237,5,0,0,0,232,0,0,233,17,1,0,0,0,215,1,290,39,80,45,2,1,8,168
95UU,17050,4669,8626,3863,52,17,52,117,6587,2055,4323,262,0,0,5,12,5814,1261,1798,2892,1,1,8,41,5477,1539,3142,895,0,2,4,21,201,34,157,11,0,0,0,0,149,29,116,4,0,0,1,0,20,2,18,0,0,0,0,0,31,0,4,2,0,0,25,0,86,3,1,1,51,14,15,1,56,3,1,0,51,0,1,0,15,0,0,1,0,14,0,0,15,0,0,0,0,0,14,1,124,9,32,13,1,1,3,80
95VV,99480,18523,38285,40669,1745,793,791,919,20135,4455,14691,1202,30,4,19,102,52715,8556,12631,32444,56,22,112,375,27474,5964,13513,8490,37,16,40,91,758,123,559,65,8,0,3,3,343,42,276,30,0,0,1,2,78,14,60,7,0,0,0,0,221,24,7,16,0,0,179,0,3257,258,10,12,1705,771,505,1,1945,219,7,9,1703,6,5,1,797,14,1,1,1,765,15,0,515,25,2,2,1,0,485,0,766,23,120,156,7,9,27,588
95WW,85139,12277,63870,8436,636,36,315,1105,56644,8368,47229,1489,19,2,31,260,11443,1279,4969,5579,43,1,28,95,26549,3759,20856,2380,18,0,20,143,667,89,552,23,4,0,1,1,357,54,298,4,0,0,0,3,77,7,70,0,0,0,0,0,169,8,13,0,0,0,152,0,799,45,8,3,617,34,97,0,665,43,2,2,617,0,1,0,34,0,0,0,0,34,0,0,100,2,6,1,0,0,96,0,1039,31,237,55,0,0,18,822
95XX,78937,9233,64012,5969,295,40,500,1189,56146,6326,48719,2127,6,1,76,342,7187,622,4167,2952,11,0,28,113,26013,3296,21161,2267,13,4,63,193,1513,139,1345,21,2,0,4,17,714,88,614,15,0,0,0,7,131,15,113,4,0,0,0,2,286,7,43,10,0,0,248,0,517,42,10,3,287,36,140,1,328,35,3,0,286,0,4,1,36,0,0,0,0,36,0,0,153,7,7,3,1,0,136,0,1057,26,288,62,0,0,30,818
95YY,51356,12586,23352,14752,602,124,542,456,14685,3786,10393,566,9,0,23,59,20986,4691,6119,10578,19,3,35,218,16791,4388,8480,4165,6,7,15,59,316,75,216,22,1,0,2,1,192,51,135,7,0,0,0,0,38,10,25,3,0,0,0,0,85,5,6,5,1,0,74,0,1307,153,13,15,584,124,422,0,716,115,7,4,582,2,8,0,129,5,0,1,1,122,0,0,462,33,6,10,1,0,414,0,334,11,90,68,4,0,5,242
95ZZ,39843,10571,17465,11798,187,12,136,207,13145,3637,9003,606,0,0,10,36,15601,3665,3693,8449,7,0,12,54,12679,3645,5981,3204,1,0,7,39,299,73,202,25,0,0,2,2,222,55,149,20,0,0,1,1,30,9,19,1,0,0,0,1,30,0,1,0,0,0,29,0,335,44,2,2,186,11,91,0,225,35,1,2,186,0,1,0,12,1,0,0,0,11,0,0,98,8,1,0,0,0,90,0,167,7,38,26,0,1,1,126
