GeographyCode,DC2229NI0001,DC2229NI0002,DC2229NI0003,DC2229NI0004,DC2229NI0005,DC2229NI0006,DC2229NI0007,DC2229NI0008,DC2229NI0009,DC2229NI0010,DC2229NI0011,DC2229NI0012,DC2229NI0013,DC2229NI0014,DC2229NI0015,DC2229NI0016,DC2229NI0017,DC2229NI0018,DC2229NI0019,DC2229NI0020,DC2229NI0021,DC2229NI0022,DC2229NI0023,DC2229NI0024,DC2229NI0025,DC2229NI0026,DC2229NI0027,DC2229NI0028,DC2229NI0029,DC2229NI0030,DC2229NI0031,DC2229NI0032,DC2229NI0033,DC2229NI0034,DC2229NI0035,DC2229NI0036,DC2229NI0037,DC2229NI0038,DC2229NI0039,DC2229NI0040,DC2229NI0041,DC2229NI0042,DC2229NI0043,DC2229NI0044,DC2229NI0045,DC2229NI0046,DC2229NI0047,DC2229NI0048,DC2229NI0049,DC2229NI0050,DC2229NI0051,DC2229NI0052,DC2229NI0053,DC2229NI0054,DC2229NI0055,DC2229NI0056,DC2229NI0057,DC2229NI0058,DC2229NI0059,DC2229NI0060,DC2229NI0061,DC2229NI0062,DC2229NI0063,DC2229NI0064,DC2229NI0065,DC2229NI0066,DC2229NI0067,DC2229NI0068,DC2229NI0069,DC2229NI0070,DC2229NI0071,DC2229NI0072
WELB,282102,14840,5089,1532,13370,3902,38733,243369,59522,2064,810,202,1765,523,5364,54158,120935,4017,1094,313,2527,936,8887,112048,91152,8205,3000,951,8649,2269,23074,68078,3972,360,114,45,281,112,912,3060,394,14,5,2,7,2,30,364,490,48,9,6,60,14,137,353,4041,89,39,8,49,34,219,3822,1596,43,18,5,32,12,110,1486
UKN01,269804,12777,5198,1345,14141,3376,36837,232967,39344,1333,581,106,1343,293,3656,35688,152852,4288,1432,334,3055,933,10042,142810,58907,6291,2876,795,9029,1920,20911,37996,5761,508,175,72,448,116,1319,4442,890,22,5,1,12,12,52,838,406,23,8,3,55,8,97,309,6486,183,87,20,105,52,447,6039,5158,129,34,14,94,42,313,4845
UKN02,374966,8137,2712,778,6987,1933,20547,354419,45825,704,256,56,624,163,1803,44022,276852,3642,997,271,2093,723,7726,269126,36132,3216,1240,389,3877,911,9633,26499,7097,347,135,29,229,85,825,6272,1231,16,3,0,9,2,30,1201,351,11,10,6,19,7,53,298,4138,124,50,21,83,18,296,3842,3340,77,21,6,53,24,181,3159
UKN03,420580,12529,3921,1327,9934,2776,30487,390093,72950,1574,499,163,1319,381,3936,69014,276085,5220,1353,428,3012,1017,11030,265055,51365,4832,1771,626,5044,1186,13459,37906,6819,454,136,53,285,92,1020,5799,1005,18,3,1,10,2,34,971,315,17,4,0,24,2,47,268,9525,357,131,50,187,73,798,8727,2516,57,24,6,53,23,163,2353
UKN04,277050,11861,4252,1243,11186,3088,31630,245420,57734,1692,654,165,1524,444,4479,53255,136208,3592,991,276,2277,811,7947,128261,73800,6106,2420,739,7017,1709,17991,55809,3880,316,101,37,222,91,767,3113,419,3,3,1,2,2,11,408,332,20,10,7,52,4,93,239,2975,83,63,12,62,19,239,2736,1702,49,10,6,30,8,103,1599
UKN05,393311,25197,8594,2721,22599,6286,65397,327914,80008,3236,1353,331,2936,790,8646,71362,175114,7126,2080,659,4727,1574,16166,158948,114427,13610,4724,1588,13979,3563,37464,76963,6515,745,215,91,569,202,1822,4693,583,26,10,1,20,4,61,522,766,85,37,6,89,27,244,522,13996,320,152,40,220,108,840,13156,1902,49,23,5,59,18,154,1748
95AA,51042,1737,598,181,1404,363,4283,46759,8058,175,63,21,145,39,443,7615,33472,759,210,64,432,150,1615,31857,6680,655,282,82,739,146,1904,4776,872,75,15,8,48,15,161,711,120,3,1,0,2,0,6,114,62,4,1,0,9,0,14,48,1313,47,21,5,19,10,102,1211,465,19,5,1,10,3,38,427
95BB,75313,1097,241,87,676,227,2328,72985,11702,179,28,17,134,46,404,11298,57504,594,119,41,298,89,1141,56363,3618,263,62,26,200,79,630,2988,1213,37,15,1,19,10,82,1131,230,1,1,0,0,0,2,228,37,1,1,0,0,0,2,35,645,20,5,1,11,0,37,608,364,2,10,1,14,3,30,334
95CC,56792,2969,913,318,2738,778,7716,49076,10552,318,131,43,376,91,959,9593,28946,725,177,78,501,168,1649,27297,14133,1787,544,184,1732,477,4724,9409,973,85,32,7,75,26,225,748,100,1,0,0,1,0,2,98,59,8,4,0,4,0,16,43,1769,43,23,6,41,14,127,1642,260,2,2,0,8,2,14,246
95DD,61601,1505,431,142,900,283,3261,58340,12495,248,75,18,133,34,508,11987,41923,685,150,52,338,109,1334,40589,4201,422,163,47,359,114,1105,3096,820,54,16,7,22,7,106,714,143,4,0,0,0,0,4,139,20,0,0,0,2,0,2,18,1689,86,27,17,39,16,185,1504,310,6,0,1,7,3,17,293
95EE,29937,951,351,87,710,227,2326,27611,7470,193,61,11,141,45,451,7019,18510,430,119,28,205,81,863,17647,3208,291,154,45,341,96,927,2281,320,25,9,1,12,4,51,269,28,0,0,0,0,0,0,28,6,0,0,0,1,0,1,5,327,8,8,1,7,1,25,302,68,4,0,1,3,0,8,60
95FF,46112,1239,348,141,1005,294,3027,43085,8066,143,41,15,124,57,380,7686,31370,523,137,48,337,113,1158,30212,5097,500,158,71,497,115,1341,3756,709,40,6,3,35,6,90,619,99,1,0,0,1,0,2,97,28,2,1,0,2,0,5,23,528,27,2,4,7,2,42,486,215,3,3,0,2,1,9,206
95GG,269804,12777,5198,1345,14141,3376,36837,232967,39344,1333,581,106,1343,293,3656,35688,152852,4288,1432,334,3055,933,10042,142810,58907,6291,2876,795,9029,1920,20911,37996,5761,508,175,72,448,116,1319,4442,890,22,5,1,12,12,52,838,406,23,8,3,55,8,97,309,6486,183,87,20,105,52,447,6039,5158,129,34,14,94,42,313,4845
95HH,37739,378,94,32,253,84,841,36898,5134,59,20,1,30,9,119,5015,30097,210,37,14,116,40,417,29680,1293,77,27,14,92,27,237,1056,504,13,2,1,7,3,26,478,127,1,0,0,0,0,1,126,25,0,0,0,1,0,1,24,321,12,7,2,4,1,26,295,238,6,1,0,3,4,14,224
95II,64756,1381,409,129,1185,388,3492,61264,6967,76,25,8,61,22,192,6775,48592,636,156,43,381,147,1363,47229,6244,573,192,65,681,192,1703,4541,1268,61,25,9,33,16,144,1124,241,4,2,0,2,0,8,233,77,4,1,0,7,1,13,64,688,19,6,3,12,5,45,643,679,8,2,1,8,5,24,655
95JJ,56990,1450,501,153,1197,356,3657,53333,11177,224,77,20,154,50,525,10652,37878,608,174,47,354,146,1329,36549,5350,512,184,74,623,142,1535,3815,861,55,20,3,25,10,113,748,168,1,2,0,0,0,3,165,50,0,4,1,2,0,7,43,1046,34,38,7,32,7,118,928,460,16,2,1,7,1,27,433
95KK,35320,2036,766,193,1677,460,5132,30188,7836,291,130,23,249,76,769,7067,18259,750,244,54,499,144,1691,16568,7440,902,358,105,864,217,2446,4994,536,59,22,6,49,14,150,386,56,3,0,0,2,1,6,50,30,6,0,0,5,0,11,19,1034,20,12,4,7,7,50,984,129,5,0,1,2,1,9,120
95LL,88565,3378,1156,410,3268,804,9016,79549,14589,353,133,38,398,96,1018,13571,51299,1200,335,128,823,253,2739,48560,16007,1546,584,207,1850,382,4569,11438,1345,114,35,15,73,25,262,1083,187,5,0,1,3,0,9,178,65,2,0,0,5,1,8,57,4414,150,65,19,99,38,371,4043,659,8,4,2,17,9,40,619
95MM,103341,5152,1913,582,5547,1411,14605,88736,17887,565,233,66,640,167,1671,16216,37448,1130,321,96,761,238,2546,34902,44365,3251,1297,388,3996,953,9885,34480,1575,145,43,18,99,42,347,1228,123,1,0,1,0,2,4,119,184,10,4,5,26,3,48,136,942,29,9,4,12,5,59,883,817,21,6,4,13,1,45,772
95NN,66882,2921,980,323,2307,676,7207,59675,12110,343,134,45,335,89,946,11164,38070,1134,333,80,647,233,2427,35643,13883,1293,462,178,1233,317,3483,10400,1435,105,39,16,74,24,258,1177,149,4,0,0,3,1,8,141,88,6,1,0,6,1,14,74,745,20,9,3,6,7,45,700,402,16,2,1,3,4,26,376
95OO,55075,3629,1330,472,3696,923,10050,45025,10827,464,198,58,489,119,1328,9499,23681,1107,304,126,779,218,2534,21147,14621,1805,729,246,2230,498,5508,9113,855,105,35,19,85,39,283,572,69,5,1,0,2,0,8,61,104,9,2,2,18,2,33,71,4612,128,56,20,84,47,335,4277,306,6,5,1,9,0,21,285
95PP,59282,3049,1011,322,2498,886,7766,51516,13637,459,174,35,340,101,1109,12528,27171,782,226,56,504,215,1783,25388,15857,1699,569,224,1588,522,4602,11255,783,65,27,7,38,22,159,624,90,2,2,0,1,0,5,85,93,11,1,0,6,6,24,69,1366,24,9,0,11,19,63,1303,285,7,3,0,10,1,21,264
95QQ,31065,652,167,43,374,129,1365,29700,5930,133,25,9,50,20,237,5693,22447,325,69,15,137,70,616,21831,1879,153,60,15,166,33,427,1452,425,29,10,3,14,5,61,364,77,0,1,0,1,1,3,74,15,2,0,0,0,0,2,13,191,7,2,1,6,0,16,175,101,3,0,0,0,0,3,98
95RR,32150,1352,441,150,996,331,3270,28880,7570,209,84,23,173,57,546,7024,17451,506,127,41,264,108,1046,16405,6270,611,216,82,515,146,1570,4700,390,20,10,3,28,12,73,317,38,0,0,0,1,0,1,37,41,1,1,1,10,0,13,28,236,3,2,0,3,4,12,224,154,2,1,0,2,4,9,145
95SS,114825,3538,1394,307,3380,792,9411,105414,15669,322,143,24,329,93,911,14758,76369,1323,433,102,813,243,2914,73455,17770,1671,718,166,2096,414,5065,12705,2298,153,69,6,100,30,358,1940,300,3,1,0,3,0,7,293,110,4,4,0,5,4,17,93,1472,40,21,7,28,4,100,1372,837,22,5,2,6,4,39,798
95TT,42883,3087,1127,308,2739,663,7924,34959,10536,536,235,31,478,118,1398,9138,19186,968,262,94,607,176,2107,17079,11199,1423,569,173,1545,337,4047,7152,784,126,35,9,69,23,262,522,53,2,1,0,8,1,12,41,90,6,8,1,10,3,28,62,893,22,14,0,13,2,51,842,142,4,3,0,9,3,19,123
95UU,16423,1014,373,83,958,245,2673,13750,4239,166,72,16,157,37,448,3791,8184,352,96,30,286,94,858,7326,3476,453,194,32,485,100,1264,2212,298,34,9,5,20,11,79,219,15,0,1,0,1,0,2,13,15,3,0,0,6,0,9,6,111,3,1,0,1,2,7,104,85,3,0,0,2,1,6,79
95VV,94839,7082,2396,818,6700,1820,18816,76023,15583,672,293,92,651,175,1883,13700,35743,1761,601,165,1246,422,4195,31548,37648,4338,1412,517,4527,1136,11930,25718,1796,212,40,33,175,54,514,1282,119,3,3,0,1,2,9,110,254,25,20,3,35,12,95,159,3138,56,24,6,48,13,147,2991,558,15,3,2,17,6,43,515
95WW,81578,1683,566,207,1501,404,4361,77217,10307,140,49,16,147,27,379,9928,61149,819,250,72,498,173,1812,59337,6906,615,227,104,759,175,1880,5026,1214,61,21,5,56,17,160,1054,223,2,0,0,4,0,6,217,61,1,1,4,1,2,9,52,912,29,10,4,17,4,64,848,806,16,8,2,19,6,51,755
95XX,76068,1157,249,103,668,265,2442,73626,7748,107,19,7,57,12,202,7546,60645,654,121,40,285,120,1220,59425,3919,280,76,40,249,103,748,3171,1813,59,18,8,33,19,137,1676,340,6,0,0,0,2,8,332,78,2,4,2,5,0,13,65,745,24,6,5,22,4,61,684,780,25,5,1,17,5,53,727
95YY,49120,3345,1051,290,2551,756,7993,41127,11037,496,192,49,353,110,1200,9837,22128,1033,266,86,591,231,2207,19921,13529,1656,543,139,1493,376,4207,9322,788,93,24,10,78,24,229,559,96,10,3,1,5,0,19,77,136,20,2,0,11,4,37,99,1184,27,14,4,16,6,67,1117,222,10,7,1,4,5,27,195
95ZZ,38209,1942,673,188,1778,518,5099,33110,9391,335,127,29,259,88,838,8553,16737,566,154,34,407,144,1305,15432,11131,988,375,118,1057,272,2810,8321,436,37,10,7,38,12,104,332,47,1,0,0,0,0,1,46,36,6,1,0,7,1,15,21,313,6,5,0,7,0,18,295,118,3,1,0,3,1,8,110
