GeographyCode,DC4101NI0001,DC4101NI0002,DC4101NI0003,DC4101NI0004,DC4101NI0005,DC4101NI0006,DC4101NI0007,DC4101NI0008,DC4101NI0009,DC4101NI0010,DC4101NI0011,DC4101NI0012,DC4101NI0013,DC4101NI0014,DC4101NI0015,DC4101NI0016,DC4101NI0017,DC4101NI0018,DC4101NI0019,DC4101NI0020,DC4101NI0021,DC4101NI0022,DC4101NI0023,DC4101NI0024,DC4101NI0025,DC4101NI0026,DC4101NI0027,DC4101NI0028,DC4101NI0029,DC4101NI0030,DC4101NI0031,DC4101NI0032,DC4101NI0033,DC4101NI0034,DC4101NI0035,DC4101NI0036,DC4101NI0037,DC4101NI0038,DC4101NI0039,DC4101NI0040,DC4101NI0041,DC4101NI0042,DC4101NI0043,DC4101NI0044,DC4101NI0045,DC4101NI0046,DC4101NI0047,DC4101NI0048,DC4101NI0049,DC4101NI0050,DC4101NI0051,DC4101NI0052,DC4101NI0053,DC4101NI0054,DC4101NI0055,DC4101NI0056,DC4101NI0057,DC4101NI0058,DC4101NI0059,DC4101NI0060,DC4101NI0061,DC4101NI0062,DC4101NI0063,DC4101NI0064,DC4101NI0065,DC4101NI0066,DC4101NI0067,DC4101NI0068,DC4101NI0069,DC4101NI0070,DC4101NI0071,DC4101NI0072,DC4101NI0073,DC4101NI0074,DC4101NI0075,DC4101NI0076,DC4101NI0077,DC4101NI0078,DC4101NI0079,DC4101NI0080,DC4101NI0081,DC4101NI0082,DC4101NI0083,DC4101NI0084,DC4101NI0085,DC4101NI0086,DC4101NI0087,DC4101NI0088,DC4101NI0089,DC4101NI0090,DC4101NI0091,DC4101NI0092,DC4101NI0093,DC4101NI0094,DC4101NI0095,DC4101NI0096,DC4101NI0097,DC4101NI0098,DC4101NI0099,DC4101NI0100,DC4101NI0101,DC4101NI0102,DC4101NI0103,DC4101NI0104,DC4101NI0105,DC4101NI0106,DC4101NI0107,DC4101NI0108,DC4101NI0109,DC4101NI0110,DC4101NI0111,DC4101NI0112
WELB,109206,29406,10956,18450,71091,5810,12160,25184,10493,11233,6211,8709,3602,71,590,4446,70925,14668,6637,8031,51000,4901,9257,20456,9251,3143,3992,5257,2380,5,412,2460,464,127,44,83,299,25,82,91,31,46,24,38,15,0,3,20,13352,5330,1599,3731,7066,336,692,1204,645,2960,1229,956,462,4,65,425,3797,1696,791,905,1880,91,126,372,101,1018,172,221,116,5,21,79,17595,5949,927,5022,9644,259,1774,2841,364,3800,606,2002,573,57,38,1334,3073,1636,958,678,1202,198,229,220,101,266,188,235,56,0,51,128
UKN01,120595,42401,14555,27846,64315,6375,13231,16727,6962,14184,6836,13879,3542,1592,615,8130,62301,19063,7827,11236,38822,5095,8370,11931,5621,4116,3689,4416,1650,39,327,2400,718,237,31,206,375,16,111,129,21,83,15,106,16,24,2,64,20794,8467,2674,5793,10396,613,1075,1478,794,4482,1954,1931,911,7,135,878,10024,4844,2091,2753,4463,349,420,700,209,2289,496,717,308,9,74,326,23632,7942,940,7002,9231,152,3100,2341,241,2894,503,6459,602,1506,32,4319,3126,1848,992,856,1028,150,155,148,76,320,179,250,55,7,45,143
UKN02,156882,43525,18382,25143,105299,12969,24240,34999,12662,13407,7022,8058,3200,66,503,4289,114348,26514,11856,14658,82764,11308,19868,29469,11596,5582,4941,5070,2168,3,366,2533,1364,416,75,341,874,43,290,306,48,136,51,74,29,1,2,42,17040,7666,2834,4832,8468,714,1088,1460,577,3335,1294,906,429,4,61,412,4512,2350,1531,819,1910,292,185,331,58,897,147,252,98,1,27,126,16631,4855,916,3939,10150,329,2571,3234,304,3235,477,1626,443,57,21,1105,2987,1724,1170,554,1133,283,238,199,79,222,112,130,33,0,26,71
UKN03,170132,44655,18500,26155,115487,12495,25238,40313,15403,13889,8149,9990,4092,19,766,5113,120291,24931,11325,13606,89068,10655,20241,33348,13921,5184,5719,6292,2799,5,540,2948,1049,292,62,230,685,32,211,254,53,105,30,72,27,1,3,41,16551,7484,2718,4766,8196,701,1152,1545,675,2847,1276,871,374,0,93,404,3221,1919,1203,716,1150,175,152,225,56,418,124,152,50,0,21,81,24721,7623,1585,6038,14689,505,3139,4604,559,5052,830,2409,812,13,48,1536,4299,2406,1607,799,1699,427,343,337,139,283,170,194,30,0,61,103
UKN04,109318,29564,11182,18382,70880,6651,12939,23734,10014,11501,6041,8874,3630,344,585,4315,69260,14467,6535,7932,49684,5524,9791,18896,8627,3124,3722,5109,2379,18,393,2319,588,156,50,106,390,35,111,120,44,52,28,42,17,2,3,20,14888,5753,1835,3918,8085,461,895,1412,761,3203,1353,1050,494,3,79,474,3840,1814,896,918,1816,104,133,346,93,977,163,210,113,5,20,72,17808,5837,960,4877,9728,303,1791,2742,374,3907,611,2243,571,314,39,1319,2934,1537,906,631,1177,224,218,218,115,238,164,220,56,2,51,111
UKN05,146348,36269,15482,20787,99095,8336,17173,39090,15295,11247,7954,10984,4516,34,810,5624,104307,20963,10276,10687,76614,7351,13207,32212,14014,3923,5907,6730,2983,2,623,3122,525,163,63,100,306,22,71,115,39,31,28,56,20,0,1,35,11617,5112,1675,3437,5790,317,686,1227,540,2076,944,715,299,1,63,352,2398,1214,644,570,1055,47,102,252,52,498,104,129,58,0,6,65,23224,6463,1345,5118,13722,325,2784,4885,519,4448,761,3039,1087,30,47,1875,4277,2354,1479,875,1608,274,323,399,131,271,210,315,69,1,70,175
95AA,20064,5093,1866,3227,13696,1289,3003,5076,1773,1667,888,1275,585,8,60,622,14243,2856,1160,1696,10583,1132,2368,4146,1606,698,633,804,418,1,48,337,129,49,11,38,67,5,19,29,5,7,2,13,1,1,0,11,2147,1013,315,698,1045,64,128,191,79,435,148,89,46,0,4,39,238,131,84,47,98,14,22,16,3,34,9,9,5,0,0,4,2817,762,120,642,1719,36,425,657,63,461,77,336,112,6,4,214,490,282,176,106,184,38,41,37,17,32,19,24,3,0,4,17
95BB,31514,8310,3640,4670,21637,2784,5413,7009,2786,2307,1338,1567,616,1,119,831,23064,4948,2243,2705,17075,2389,4458,5911,2504,905,908,1041,445,1,77,518,239,62,11,51,162,5,51,66,7,29,4,15,5,0,1,9,3436,1440,564,876,1803,179,284,317,147,614,262,193,81,0,22,90,658,367,279,88,271,56,40,45,16,87,27,20,8,0,4,8,3376,1073,263,810,2038,97,509,604,86,628,114,265,75,0,5,185,741,420,280,140,288,58,71,66,26,44,23,33,2,0,10,21
95CC,21594,5464,2412,3052,14810,1385,2751,5614,2258,1682,1120,1320,540,3,104,673,15867,3272,1623,1649,11766,1236,2197,4732,2092,662,847,829,354,0,81,394,61,21,8,13,32,3,9,10,3,5,2,8,3,0,0,5,1718,853,309,544,769,46,104,154,75,256,134,96,39,0,8,49,311,168,80,88,126,5,16,33,6,48,18,17,4,0,0,13,3029,816,169,647,1878,52,371,622,64,674,95,335,133,3,7,192,608,334,223,111,239,43,54,63,18,37,24,35,7,0,8,20
95DD,24817,6381,2849,3532,16887,1996,3704,5657,2429,1819,1282,1549,598,4,137,810,17722,3614,1775,1839,13143,1679,2997,4684,2209,646,928,965,397,1,103,464,122,43,11,32,72,3,21,29,6,11,2,7,5,0,0,2,2376,1047,397,650,1210,92,162,223,103,445,185,119,50,0,12,57,402,286,205,81,101,33,13,18,3,17,17,15,3,0,2,10,3489,1028,214,814,2047,91,455,641,85,651,124,414,138,3,9,264,706,363,247,116,314,98,56,62,23,49,26,29,5,0,11,13
95EE,11508,2741,1192,1549,7931,819,1665,2995,1171,669,612,836,362,2,86,386,8054,1465,704,761,6018,684,1282,2425,1014,209,404,571,263,0,63,245,66,14,4,10,50,3,16,21,6,1,3,2,1,0,0,1,1329,539,188,351,699,55,113,173,80,159,119,91,30,0,11,50,108,78,58,20,22,7,9,1,0,5,0,8,0,0,0,8,1621,458,111,347,1026,39,214,354,54,291,74,137,58,2,4,73,330,187,127,60,116,31,31,21,17,4,12,27,10,0,8,9
95FF,18303,4613,1862,2751,12732,1211,2750,4901,1697,1330,843,958,330,0,98,530,13466,2614,1112,1502,10182,1037,2220,4242,1571,484,628,670,256,0,72,342,79,28,4,24,45,2,13,20,2,8,0,6,3,0,1,2,1524,754,293,461,719,71,121,145,52,218,112,51,18,0,9,24,282,158,89,69,113,8,13,22,3,56,11,11,4,0,2,5,2392,751,153,598,1443,37,349,421,51,522,63,198,43,0,5,150,560,308,211,97,230,56,34,51,18,42,29,22,6,0,9,7
95GG,120595,42401,14555,27846,64315,6375,13231,16727,6962,14184,6836,13879,3542,1592,615,8130,62301,19063,7827,11236,38822,5095,8370,11931,5621,4116,3689,4416,1650,39,327,2400,718,237,31,206,375,16,111,129,21,83,15,106,16,24,2,64,20794,8467,2674,5793,10396,613,1075,1478,794,4482,1954,1931,911,7,135,878,10024,4844,2091,2753,4463,349,420,700,209,2289,496,717,308,9,74,326,23632,7942,940,7002,9231,152,3100,2341,241,2894,503,6459,602,1506,32,4319,3126,1848,992,856,1028,150,155,148,76,320,179,250,55,7,45,143
95HH,16200,4674,1950,2724,10768,1287,2514,3464,1329,1513,661,758,291,6,34,427,11628,2648,1152,1496,8475,1066,2066,3023,1215,637,468,505,215,1,23,266,119,32,6,26,85,3,23,32,9,15,3,2,1,0,0,1,1758,854,327,527,851,95,117,127,54,331,127,53,22,0,4,27,456,316,235,81,119,51,21,16,2,20,9,21,3,0,1,17,1923,622,96,526,1134,43,265,245,41,494,46,167,46,5,4,112,316,202,134,68,104,29,22,21,8,16,8,10,4,0,2,4
95II,27733,8210,3658,4552,18172,2492,4151,6219,2193,1808,1309,1351,469,9,108,765,20695,5285,2505,2780,14580,2171,3362,5328,2013,776,930,830,315,0,77,438,201,55,14,41,131,7,48,47,7,13,9,15,6,0,0,9,3308,1618,567,1051,1535,169,200,263,111,526,266,155,60,0,14,81,574,351,256,95,195,48,34,37,10,54,12,28,5,0,7,16,2436,599,105,494,1540,46,466,513,39,407,69,297,80,9,3,205,519,302,211,91,191,51,41,31,13,32,23,26,3,0,7,16
95JJ,23508,6715,2858,3857,15008,1879,3459,4794,1905,1904,1067,1785,560,283,110,832,15426,3666,1751,1915,10892,1616,2635,3718,1644,588,691,868,370,12,72,414,159,45,16,29,104,12,34,26,11,11,10,10,3,2,0,5,2769,1128,421,707,1489,117,216,264,139,539,214,152,57,0,17,78,466,303,198,105,151,20,27,31,11,52,10,12,4,0,3,5,4027,1200,240,960,2122,67,491,693,76,679,116,705,117,267,9,312,661,373,232,141,250,47,56,62,24,35,26,38,9,2,9,18
95KK,12904,3023,1312,1711,8959,762,1524,3523,1454,973,723,922,414,3,58,447,9406,1776,884,892,7033,681,1192,2963,1332,324,541,597,298,0,46,253,70,17,6,11,43,4,11,12,9,5,2,10,4,0,0,6,930,404,131,273,482,25,57,105,41,177,77,44,16,0,4,24,122,69,54,15,45,7,5,9,6,12,6,8,2,0,0,6,2032,569,117,452,1232,28,233,399,52,441,79,231,84,3,2,142,344,188,120,68,124,17,26,35,14,14,18,32,10,0,6,16
95LL,35931,9528,3723,5805,24119,2336,4851,8697,3114,3373,1748,2284,956,3,155,1170,23657,4864,2122,2742,17578,1935,3700,6858,2744,1172,1169,1215,544,2,108,561,272,61,8,53,193,8,62,66,20,27,10,18,7,0,0,11,3750,1713,640,1073,1812,163,251,376,155,587,280,225,101,0,18,106,960,587,284,303,318,36,46,65,17,119,35,55,15,0,7,33,6468,1824,353,1471,3913,113,727,1285,152,1418,218,731,278,1,12,440,824,479,316,163,305,81,65,47,26,50,36,40,11,0,10,19
95MM,40779,11366,3639,7727,25568,1927,3924,8047,3477,5740,2453,3845,1706,55,182,1902,23374,4900,1973,2927,16431,1532,2840,6271,2942,1457,1389,2043,1032,4,108,899,226,62,17,45,144,11,39,46,14,24,10,20,10,0,1,9,6766,2424,687,1737,3780,167,309,584,322,1743,655,562,310,3,31,218,2505,1038,462,576,1307,61,71,242,52,768,113,160,97,5,12,46,6980,2487,276,2211,3523,96,606,851,114,1626,230,970,233,43,14,680,928,455,224,231,383,60,59,53,33,122,56,90,24,0,16,50
95NN,26206,6888,2957,3931,17647,1824,3443,6293,2474,2241,1372,1671,723,2,144,802,18575,3826,1905,1921,13621,1587,2774,5205,2245,836,974,1128,526,0,100,502,131,24,9,15,96,6,26,31,12,12,9,11,5,0,1,5,2134,940,322,618,1060,71,128,209,97,361,194,134,63,0,18,53,441,213,146,67,198,16,11,53,13,88,17,30,11,0,2,17,4252,1499,313,1186,2420,80,450,745,86,910,149,333,118,2,10,203,673,386,262,124,252,64,54,50,21,34,29,35,0,0,13,22
95OO,20270,4856,2028,2828,13602,1109,2312,5490,2024,1610,1057,1812,789,4,118,901,13949,2804,1362,1442,10239,965,1723,4354,1835,567,795,906,372,0,89,445,79,24,2,22,42,3,6,18,7,2,6,13,6,0,0,7,1662,707,218,489,817,55,98,190,72,297,105,138,68,0,16,54,421,188,75,113,212,5,22,38,3,124,20,21,13,0,0,8,3560,809,178,631,2052,38,411,825,91,590,97,699,319,3,5,372,599,324,193,131,240,43,52,65,16,30,34,35,11,1,8,15
95PP,23069,6356,2716,3640,14998,1342,3055,5644,2245,1488,1224,1715,623,13,155,924,16713,3781,1826,1955,11787,1185,2403,4695,2054,536,914,1145,457,0,121,567,69,25,11,14,39,2,14,13,3,4,3,5,2,0,0,3,1752,801,250,551,849,41,102,150,86,313,157,102,32,1,12,57,418,216,136,80,180,14,23,47,13,71,12,22,6,0,3,13,3361,1102,217,885,1874,53,440,676,78,523,104,385,113,12,8,252,756,431,276,155,269,47,73,63,11,41,34,56,13,0,11,32
95QQ,13297,3842,1603,2239,8769,1055,2074,2680,1130,1152,678,686,284,1,53,348,9564,2209,1008,1201,6886,896,1724,2302,1042,443,479,469,213,0,32,224,77,25,8,17,50,3,19,13,1,11,3,2,1,0,0,1,1184,577,187,390,547,61,78,84,42,187,95,60,15,0,10,35,240,177,116,61,51,12,7,6,1,17,8,12,4,0,4,4,1927,686,169,517,1109,51,224,251,36,462,85,132,48,1,3,80,305,168,115,53,126,32,22,24,8,32,8,11,3,0,4,4
95RR,12098,2811,1086,1725,8443,693,1579,3066,1298,1141,666,844,361,0,50,433,8330,1488,674,814,6258,577,1248,2525,1147,317,444,584,264,0,31,289,62,11,5,6,48,4,13,14,7,8,2,3,2,0,1,0,1308,563,180,383,671,39,96,134,67,215,120,74,30,0,7,37,249,117,50,67,124,8,9,29,9,52,17,8,4,0,1,3,1853,497,94,403,1201,37,190,334,56,520,64,155,56,0,4,95,296,135,83,52,141,28,23,30,12,29,19,20,5,0,6,9
95SS,45723,11384,4480,6904,31580,3354,6746,10896,3866,4645,2073,2759,1268,16,158,1317,32322,6711,2766,3945,23910,2923,5389,8923,3473,1820,1382,1701,807,1,109,784,364,99,12,87,249,11,90,87,17,32,12,16,5,0,1,10,5764,2187,805,1382,3163,198,373,582,226,1340,444,414,226,0,19,169,1935,701,345,356,1099,54,57,214,37,663,74,135,79,0,8,48,4345,1157,203,954,2744,77,758,1014,83,696,116,444,137,15,9,283,993,529,349,180,415,91,79,76,30,94,45,49,14,0,12,23
95TT,15037,3174,1445,1729,10694,855,1724,4564,1771,936,844,1169,492,1,98,578,11051,1818,896,922,8441,762,1304,3801,1626,311,637,792,363,0,73,356,55,16,8,8,35,0,5,23,4,2,1,4,2,0,1,1,1133,436,161,275,624,37,76,157,53,192,109,73,33,0,7,33,145,100,67,33,40,5,2,5,5,20,3,5,2,0,1,2,2171,528,142,386,1384,27,306,524,64,386,77,259,80,1,6,172,482,276,171,105,170,24,31,54,19,25,17,36,12,0,10,14
95UU,6608,1950,852,1098,4220,502,788,1412,639,503,376,438,160,2,54,222,4453,1070,545,525,3068,409,610,1113,561,133,242,315,121,1,44,149,24,10,2,8,12,2,2,5,1,2,0,2,1,0,0,1,762,296,90,206,422,34,53,79,46,136,74,44,15,0,4,25,128,97,51,46,29,3,2,8,1,10,5,2,0,0,0,2,1042,368,89,279,608,29,110,190,23,211,45,66,21,1,2,42,199,109,75,34,81,25,11,17,7,11,10,9,2,0,4,3
95VV,35031,8504,3609,4895,23660,1866,3729,9248,3594,3238,1985,2867,1227,9,177,1454,24436,4891,2409,2482,17841,1621,2798,7546,3286,1110,1480,1704,841,2,136,725,135,45,23,22,79,5,17,29,11,9,8,11,2,0,0,9,2850,1172,393,779,1507,73,172,313,150,563,236,171,73,0,10,88,740,329,166,163,366,8,26,101,12,186,33,45,30,0,1,14,5955,1603,332,1271,3504,89,665,1179,105,1283,183,848,273,7,13,555,915,464,286,178,363,70,51,80,30,87,45,88,8,0,17,63
95WW,33971,9265,3977,5288,23018,2691,5155,7519,2789,3247,1617,1688,634,31,105,918,24954,5594,2482,3112,18278,2349,4307,6517,2568,1389,1148,1082,451,1,81,549,298,89,12,77,191,9,62,62,7,41,10,18,8,1,0,9,3815,1856,719,1137,1784,155,245,256,118,717,293,175,78,4,16,77,666,414,303,111,236,48,32,30,5,96,25,16,5,0,4,7,3616,946,193,753,2294,74,453,619,73,954,121,376,84,25,4,263,622,366,268,98,235,56,56,35,18,50,20,21,8,0,0,13
95XX,33255,9992,4317,5675,21761,3145,5674,6901,2485,2194,1362,1502,538,4,98,862,24749,6276,2951,3325,17521,2799,4744,5678,2327,960,1013,952,380,0,76,496,382,141,31,110,218,13,67,78,8,35,17,23,9,0,1,13,2395,1151,416,735,1135,97,153,232,68,421,164,109,43,0,8,58,881,568,392,176,261,91,41,34,4,64,27,52,6,1,7,38,4311,1531,319,1212,2438,89,629,843,68,684,125,342,96,3,1,242,537,325,208,117,188,56,40,36,10,30,16,24,4,0,5,15
95YY,18443,4892,1960,2932,12372,1017,2078,5007,1949,1320,1001,1179,431,1,100,647,12885,2621,1276,1345,9507,901,1590,4121,1789,413,693,757,298,0,77,382,56,15,5,10,36,5,9,10,2,4,6,5,1,0,0,4,1572,739,213,526,742,40,77,158,63,278,126,91,38,0,6,47,241,144,66,78,86,3,8,19,7,37,12,11,1,0,1,9,3116,1036,190,846,1798,38,358,660,65,551,126,282,85,1,6,190,573,337,210,127,203,30,36,39,23,37,38,33,8,0,10,15
95ZZ,14817,3981,1555,2426,9710,831,1524,3420,1524,1544,867,1126,481,2,103,540,9623,1878,888,990,7017,706,1176,2844,1319,420,552,728,329,1,75,323,51,14,6,8,32,3,7,8,5,6,3,5,0,0,1,4,1954,803,269,534,1024,49,108,178,107,411,171,127,52,0,9,66,384,181,77,104,183,5,15,35,20,90,18,20,8,0,4,8,2285,827,150,677,1248,35,180,320,51,580,82,210,86,1,6,117,520,278,165,113,206,33,38,35,22,37,41,36,6,0,8,22
