GeographyCode,DC2405NI0001,DC2405NI0002,DC2405NI0003,DC2405NI0004,DC2405NI0005,DC2405NI0006,DC2405NI0007,DC2405NI0008,DC2405NI0009,DC2405NI0010,DC2405NI0011,DC2405NI0012,DC2405NI0013,DC2405NI0014,DC2405NI0015,DC2405NI0016,DC2405NI0017,DC2405NI0018,DC2405NI0019,DC2405NI0020,DC2405NI0021,DC2405NI0022,DC2405NI0023,DC2405NI0024,DC2405NI0025,DC2405NI0026,DC2405NI0027,DC2405NI0028,DC2405NI0029,DC2405NI0030,DC2405NI0031,DC2405NI0032,DC2405NI0033,DC2405NI0034,DC2405NI0035,DC2405NI0036,DC2405NI0037,DC2405NI0038,DC2405NI0039,DC2405NI0040,DC2405NI0041,DC2405NI0042,DC2405NI0043,DC2405NI0044,DC2405NI0045,DC2405NI0046,DC2405NI0047,DC2405NI0048,DC2405NI0049,DC2405NI0050,DC2405NI0051,DC2405NI0052,DC2405NI0053,DC2405NI0054,DC2405NI0055,DC2405NI0056,DC2405NI0057,DC2405NI0058,DC2405NI0059,DC2405NI0060,DC2405NI0061,DC2405NI0062,DC2405NI0063,DC2405NI0064,DC2405NI0065,DC2405NI0066,DC2405NI0067,DC2405NI0068,DC2405NI0069,DC2405NI0070,DC2405NI0071,DC2405NI0072,DC2405NI0073,DC2405NI0074,DC2405NI0075,DC2405NI0076,DC2405NI0077,DC2405NI0078,DC2405NI0079,DC2405NI0080,DC2405NI0081,DC2405NI0082,DC2405NI0083,DC2405NI0084,DC2405NI0085,DC2405NI0086,DC2405NI0087,DC2405NI0088,DC2405NI0089,DC2405NI0090,DC2405NI0091,DC2405NI0092,DC2405NI0093,DC2405NI0094,DC2405NI0095,DC2405NI0096,DC2405NI0097,DC2405NI0098,DC2405NI0099,DC2405NI0100,DC2405NI0101,DC2405NI0102,DC2405NI0103,DC2405NI0104,DC2405NI0105,DC2405NI0106,DC2405NI0107,DC2405NI0108,DC2405NI0109,DC2405NI0110,DC2405NI0111,DC2405NI0112
WELB,109206,108209,108129,80,649,181,291,38,3,136,108,27,55,26,131,109,29406,29243,29211,32,89,39,30,8,0,12,17,3,11,3,28,29,30356,30107,30086,21,142,40,67,9,1,25,39,8,18,13,31,37,18397,18173,18169,4,167,44,71,9,0,43,12,4,4,4,29,16,16906,16676,16667,9,168,40,87,5,1,35,17,8,6,3,29,16,14141,14010,13996,14,83,18,36,7,1,21,23,4,16,3,14,11,2.66,2.66,2.66,2.58,3.08,2.80,3.18,3.00,3.67,3.29,2.95,3.07,3.02,2.69,2.80,2.51
UKN01,120595,117336,117260,76,2294,707,851,74,62,600,460,49,366,45,267,238,42401,41735,41693,42,381,142,116,20,13,90,131,11,104,16,74,80,36385,35607,35595,12,519,190,181,10,13,125,103,13,76,14,85,71,19166,18356,18346,10,638,159,313,15,12,139,89,11,74,4,48,35,13886,13213,13207,6,517,147,197,18,12,143,80,5,72,3,42,34,8757,8425,8419,6,239,69,44,11,12,103,57,9,40,8,18,18,2.29,2.28,2.28,2.09,2.93,2.79,2.86,3.08,3.19,3.16,2.68,2.76,2.70,2.47,2.45,2.36
UKN02,156882,154787,154744,43,1482,499,479,102,30,372,236,36,155,45,215,162,43525,43235,43217,18,156,58,44,13,4,37,40,12,18,10,44,50,51209,50759,50754,5,303,120,80,15,4,84,56,11,33,12,56,35,26741,26283,26277,6,332,108,116,13,5,90,57,4,44,9,47,22,23182,22639,22632,7,428,140,165,35,3,85,46,7,32,7,36,33,12225,11871,11864,7,263,73,74,26,14,76,37,2,28,7,32,22,2.45,2.44,2.44,2.70,3.29,3.16,3.32,3.66,3.97,3.28,2.97,2.33,3.18,2.78,2.85,2.70
UKN03,170132,168413,168326,87,1078,345,309,96,54,274,266,35,164,67,201,174,44655,44379,44339,40,147,48,41,19,8,31,40,5,23,12,46,43,53121,52712,52694,18,235,95,56,10,8,66,60,9,38,13,59,55,29312,28944,28933,11,232,73,82,14,6,57,66,13,42,11,44,26,26165,25758,25749,9,292,76,103,27,11,75,51,5,34,12,31,33,16879,16620,16611,9,172,53,27,26,21,45,49,3,27,19,21,17,2.55,2.55,2.55,2.24,3.19,3.05,3.08,3.61,3.74,3.23,3.10,2.80,3.08,3.30,2.65,2.63
UKN04,109318,108249,108199,50,687,223,306,30,8,120,123,30,69,24,151,108,29564,29383,29358,25,98,39,38,7,1,13,22,3,16,3,34,27,32001,31717,31707,10,164,52,78,7,2,25,46,9,24,13,39,35,18607,18375,18372,3,166,61,66,6,1,32,15,6,5,4,33,18,16471,16233,16228,5,175,49,87,4,2,33,17,6,9,2,29,17,12675,12541,12534,7,84,22,37,6,2,17,23,6,15,2,16,11,2.60,2.60,2.60,2.34,3.04,2.86,3.11,2.90,3.38,3.24,2.84,3.13,2.81,2.54,2.72,2.56
UKN05,146348,145205,144995,210,645,228,217,44,10,146,209,18,104,87,127,162,36269,36105,36043,62,79,39,21,4,1,14,31,2,20,9,21,33,39570,39310,39264,46,161,58,64,9,4,26,34,4,16,14,24,41,24094,23865,23839,26,139,52,45,6,1,35,40,2,25,13,26,24,23433,23175,23139,36,163,48,61,14,2,38,39,4,21,14,29,27,22982,22750,22710,40,103,31,26,11,2,33,65,6,22,37,27,37,2.79,2.79,2.79,2.86,3.16,2.96,3.08,3.68,3.10,3.43,3.59,4.17,3.21,3.92,3.21,3.11
95AA,20064,19729,19723,6,236,50,120,18,1,47,48,10,30,8,38,13,5093,5047,5043,4,28,6,16,4,0,2,6,1,3,2,9,3,5960,5906,5906,0,34,6,16,2,0,10,7,2,4,1,9,4,3555,3457,3457,0,71,15,38,3,1,14,16,5,9,2,8,3,3282,3196,3196,0,67,10,38,7,0,12,12,2,9,1,6,1,2174,2123,2121,2,36,13,12,2,0,9,7,0,5,2,6,2,2.62,2.61,2.61,2.50,3.26,3.44,3.14,3.17,3.00,3.43,3.15,2.80,3.30,3.00,2.79,2.62
95BB,31514,31301,31294,7,149,54,19,5,35,36,19,1,11,7,24,21,8310,8277,8274,3,19,6,3,1,5,4,2,1,0,1,7,5,10811,10745,10741,4,40,18,0,0,7,15,6,0,5,1,10,10,5258,5235,5235,0,18,9,5,1,1,2,1,0,0,1,2,2,4708,4658,4658,0,38,13,9,3,5,8,6,0,4,2,4,2,2427,2386,2386,0,34,8,2,0,17,7,4,0,2,2,1,2,2.46,2.45,2.45,1.57,3.31,3.07,3.37,3.20,3.91,3.06,3.32,1.00,3.27,3.71,2.25,2.38
95CC,21594,21471,21441,30,85,34,32,4,2,13,9,3,3,3,16,13,5464,5448,5441,7,8,2,2,0,1,3,1,0,1,0,3,4,6080,6048,6040,8,21,12,6,0,0,3,2,1,0,1,4,5,3655,3635,3629,6,15,5,6,1,1,2,1,0,1,0,3,1,3368,3332,3329,3,32,11,15,2,0,4,2,0,1,1,1,1,3027,3008,3002,6,9,4,3,1,0,1,3,2,0,1,5,2,2.72,2.71,2.71,2.87,3.20,3.15,3.38,4.25,2.00,2.77,3.56,4.33,2.67,3.67,3.13,2.38
95DD,24817,24614,24574,40,141,50,35,18,2,36,19,2,14,3,16,27,6381,6344,6325,19,26,10,8,3,1,4,3,0,3,0,5,3,7927,7876,7869,7,32,16,8,3,0,5,5,0,4,1,2,12,4335,4291,4283,8,32,13,8,1,0,10,3,2,1,0,4,5,3726,3682,3677,5,32,8,11,2,0,11,3,0,3,0,3,6,2448,2421,2420,1,19,3,0,9,1,6,5,0,3,2,2,1,2.55,2.55,2.55,2.05,2.94,2.60,2.63,3.67,3.00,3.33,3.26,3.00,3.07,4.33,2.81,2.63
95EE,11508,11463,11460,3,26,13,12,0,0,1,6,5,1,0,10,3,2741,2736,2735,1,1,0,1,0,0,0,0,0,0,0,2,2,3451,3435,3435,0,8,3,5,0,0,0,3,2,1,0,5,0,1978,1965,1965,0,9,5,4,0,0,0,2,2,0,0,1,1,1879,1872,1871,1,6,4,1,0,0,1,0,0,0,0,1,0,1459,1455,1454,1,2,1,1,0,0,0,1,1,0,0,1,0,2.70,2.70,2.70,3.33,3.00,3.23,2.67,0,0,4.00,2.83,3.00,2.00,0,2.40,1.67
95FF,18303,18200,18196,4,60,22,14,5,2,17,9,5,3,1,15,19,4613,4593,4592,1,12,6,3,0,0,3,2,1,1,0,3,3,5539,5509,5508,1,19,7,6,0,0,6,4,1,2,1,3,4,3067,3052,3051,1,7,3,2,0,1,1,1,1,0,0,4,3,3055,3029,3029,0,12,2,2,3,1,4,2,2,0,0,4,8,2029,2017,2016,1,10,4,1,2,0,3,0,0,0,0,1,1,2.62,2.62,2.62,3.00,2.90,2.68,2.43,4.80,3.50,2.94,2.33,2.80,1.67,2.00,2.87,3.00
95GG,120595,117336,117260,76,2294,707,851,74,62,600,460,49,366,45,267,238,42401,41735,41693,42,381,142,116,20,13,90,131,11,104,16,74,80,36385,35607,35595,12,519,190,181,10,13,125,103,13,76,14,85,71,19166,18356,18346,10,638,159,313,15,12,139,89,11,74,4,48,35,13886,13213,13207,6,517,147,197,18,12,143,80,5,72,3,42,34,8757,8425,8419,6,239,69,44,11,12,103,57,9,40,8,18,18,2.29,2.28,2.28,2.09,2.93,2.79,2.86,3.08,3.19,3.16,2.68,2.76,2.70,2.47,2.45,2.36
95HH,16200,16065,16062,3,88,33,28,6,1,20,16,1,12,3,20,11,4674,4653,4651,2,11,5,3,1,0,2,3,1,2,0,5,2,5293,5267,5266,1,19,11,2,1,0,5,5,0,3,2,2,0,2808,2778,2778,0,20,5,8,1,0,6,2,0,1,1,6,2,2353,2314,2314,0,28,10,11,1,1,5,4,0,4,0,4,3,1072,1053,1053,0,10,2,4,2,0,2,2,0,2,0,3,4,2.39,2.39,2.39,1.33,3.10,2.79,3.43,3.50,4.00,3.00,2.81,1.00,3.08,2.33,2.90,3.73
95II,27733,27181,27177,4,437,153,107,25,13,139,43,4,37,2,39,33,8210,8144,8142,2,40,11,12,3,2,12,7,1,6,0,8,11,9002,8891,8890,1,82,32,18,2,2,28,11,1,9,1,12,6,4474,4353,4353,0,101,32,28,6,3,32,8,1,6,1,7,5,4055,3903,3902,1,130,52,39,7,1,31,8,1,7,0,6,8,1992,1890,1890,0,84,26,10,7,5,36,9,0,9,0,6,3,2.40,2.38,2.38,2.00,3.38,3.41,3.16,3.80,3.62,3.42,3.09,2.50,3.19,2.50,2.79,2.67
95JJ,23508,23238,23231,7,174,69,52,10,5,38,28,2,22,4,39,29,6715,6661,6656,5,30,10,11,1,1,7,8,1,6,1,7,9,7651,7571,7570,1,54,19,20,3,1,11,9,0,6,3,10,7,3819,3778,3777,1,30,19,5,1,1,4,2,0,2,0,7,2,3193,3134,3134,0,38,12,12,2,1,11,5,0,5,0,9,7,2130,2094,2094,0,22,9,4,3,1,5,4,1,3,0,6,4,2.46,2.45,2.45,1.43,2.89,2.93,2.63,3.40,3.20,3.00,2.64,3.00,2.77,1.75,2.92,2.69
95KK,12904,12804,12802,2,53,31,10,4,0,8,36,2,25,9,7,4,3023,3002,3001,1,9,5,2,0,0,2,7,0,6,1,2,3,3486,3456,3456,0,18,9,4,2,0,3,8,0,5,3,4,0,2095,2076,2075,1,10,8,0,0,0,2,8,0,7,1,1,0,2138,2124,2124,0,8,5,2,1,0,0,5,1,3,1,0,1,2162,2146,2146,0,8,4,2,1,0,1,8,1,4,3,0,0,2.84,2.85,2.85,2.00,2.83,2.81,2.80,4.00,0,2.38,3.14,5.00,2.80,3.67,1.86,1.75
95LL,35931,35335,35318,17,355,110,76,46,8,115,115,10,78,27,66,60,9528,9436,9428,8,44,11,6,11,1,15,16,1,10,5,13,19,10740,10589,10587,2,83,35,21,4,0,23,28,4,18,6,24,16,6389,6255,6254,1,81,19,21,9,3,29,30,3,24,3,14,9,5561,5429,5426,3,95,29,23,9,2,32,20,0,14,6,9,8,3713,3626,3623,3,52,16,5,13,2,16,21,2,12,7,6,8,2.57,2.57,2.57,2.59,3.21,3.13,3.01,3.70,3.50,3.19,3.11,2.90,3.09,3.26,2.61,2.60
95MM,40779,40220,40192,28,371,96,198,16,3,58,77,21,38,18,66,45,11366,11274,11259,15,53,22,21,6,0,4,12,1,9,2,17,10,11364,11231,11224,7,79,19,43,4,1,12,31,7,14,10,11,12,7079,6945,6943,2,96,28,47,2,0,19,11,4,3,4,18,9,6130,5997,5996,1,101,20,62,1,1,17,11,6,3,2,12,9,4840,4773,4770,3,42,7,25,3,1,6,12,3,9,0,8,5,2.61,2.61,2.61,1.93,3.05,2.71,3.21,2.50,3.67,3.19,2.77,3.14,2.76,2.33,2.79,2.76
95NN,26206,25993,25984,9,103,41,34,2,5,21,51,6,25,20,28,31,6888,6855,6851,4,12,6,4,0,0,2,7,0,4,3,6,8,7708,7664,7661,3,19,9,2,0,1,7,9,2,4,3,8,8,4477,4433,4433,0,16,10,5,0,0,1,15,2,8,5,9,4,4038,3982,3981,1,37,9,16,2,3,7,8,1,4,3,3,8,3095,3059,3058,1,19,7,7,0,1,4,12,1,5,6,2,3,2.62,2.62,2.62,2.22,3.40,3.10,3.62,4.00,4.00,3.43,3.20,3.17,3.08,3.35,2.54,2.77
95OO,20270,19963,19894,69,91,21,28,3,2,37,113,4,49,60,39,64,4856,4825,4805,20,7,4,1,1,0,1,14,1,7,6,6,4,5341,5294,5286,8,16,3,6,1,1,5,14,0,9,5,5,12,3424,3361,3351,10,21,7,8,0,0,6,21,0,11,10,7,14,3321,3257,3241,16,22,6,5,1,1,9,22,1,10,11,10,10,3328,3226,3211,15,25,1,8,0,0,16,42,2,12,28,11,24,2.83,2.82,2.82,3.00,3.62,2.90,3.57,2.33,3.00,4.19,3.93,6.50,3.43,4.17,3.56,3.86
95PP,23069,22911,22895,16,104,25,40,16,0,23,13,4,4,5,19,22,6356,6332,6326,6,10,6,0,2,0,2,3,1,1,1,4,7,6549,6508,6503,5,27,7,13,5,0,2,4,1,0,3,4,6,3696,3665,3664,1,26,3,10,4,0,9,0,0,0,0,2,3,3489,3452,3450,2,26,7,12,2,0,5,1,1,0,0,7,3,2979,2954,2952,2,15,2,5,3,0,5,5,1,3,1,2,3,2.65,2.64,2.64,2.50,3.18,2.76,3.28,3.19,0,3.48,3.08,3.00,4.00,2.40,2.95,2.59
95QQ,13297,13241,13237,4,34,18,11,2,1,2,5,1,3,1,14,3,3842,3827,3826,1,6,3,1,0,1,1,4,1,2,1,3,2,4436,4423,4422,1,8,4,3,1,0,0,1,0,1,0,3,1,2231,2221,2220,1,7,4,3,0,0,0,0,0,0,0,3,0,1795,1782,1782,0,11,5,4,1,0,1,0,0,0,0,2,0,993,988,987,1,2,2,0,0,0,0,0,0,0,0,3,0,2.40,2.40,2.40,2.75,2.88,3.00,2.91,3.00,1.00,2.50,1.20,1.00,1.33,1.00,3.00,1.33
95RR,12098,12025,12023,2,44,16,9,3,0,16,7,0,5,2,16,6,2811,2801,2800,1,3,2,0,0,0,1,0,0,0,0,5,2,3562,3544,3544,0,8,5,2,0,0,1,3,0,3,0,5,2,2219,2196,2196,0,20,4,5,3,0,8,0,0,0,0,2,1,2003,1991,1991,0,8,3,2,0,0,3,1,0,1,0,3,0,1503,1493,1492,1,5,2,0,0,0,3,3,0,1,2,1,1,2.72,2.71,2.71,4.00,3.16,2.88,3.00,3.00,0,3.56,3.86,0,3.00,6.00,2.38,2.33
95SS,45723,45194,45166,28,350,104,142,19,2,83,68,6,45,17,70,41,11384,11310,11301,9,40,18,11,4,1,6,10,2,5,3,14,10,14276,14171,14170,1,65,23,21,3,0,18,13,2,7,4,18,9,8238,8122,8116,6,72,16,33,4,0,19,21,2,15,4,17,6,7256,7119,7113,6,109,29,54,5,0,21,11,0,9,2,11,6,4569,4472,4466,6,64,18,23,3,1,19,13,0,9,4,10,10,2.59,2.59,2.58,3.18,3.31,3.12,3.42,3.00,3.00,3.47,3.09,2.00,3.24,3.06,2.90,3.00
95TT,15037,14939,14932,7,72,26,32,1,1,12,5,2,2,1,11,10,3174,3162,3160,2,9,4,5,0,0,0,1,0,1,0,1,1,3933,3903,3902,1,24,4,17,1,0,2,1,0,0,1,0,5,2420,2400,2399,1,13,5,4,0,0,4,2,2,0,0,3,2,2664,2647,2645,2,11,4,3,0,0,4,1,0,1,0,4,1,2846,2827,2826,1,15,9,3,0,1,2,0,0,0,0,3,1,2.98,2.98,2.98,2.86,3.08,3.54,2.53,2.00,5.00,3.50,2.60,3.00,2.50,2.00,3.82,2.90
95UU,6608,6570,6570,0,29,12,15,0,0,2,2,1,1,0,3,4,1950,1944,1944,0,5,2,2,0,0,1,0,0,0,0,1,0,1933,1922,1922,0,7,3,4,0,0,0,0,0,0,0,2,2,1008,1001,1001,0,5,3,2,0,0,0,0,0,0,0,0,2,912,903,903,0,9,3,5,0,0,1,0,0,0,0,0,0,805,800,800,0,3,1,2,0,0,0,2,1,1,0,0,0,2.56,2.56,2.56,0,3.14,2.83,3.47,0,0,2.50,5.50,6.00,5.00,0,1.67,2.50
95VV,35031,34797,34735,62,153,64,51,14,5,19,25,2,15,8,22,34,8504,8467,8448,19,19,12,5,1,0,1,5,0,4,1,5,8,9340,9291,9274,17,35,17,13,0,3,2,4,2,1,1,2,8,5905,5851,5845,6,35,17,11,1,0,6,7,0,5,2,8,4,5523,5463,5453,10,44,12,18,7,1,6,4,0,4,0,4,8,5759,5725,5715,10,20,6,4,5,1,4,5,0,1,4,3,6,2.82,2.82,2.82,2.81,3.14,2.81,3.10,4.21,3.20,3.58,3.04,2.00,2.87,3.63,2.91,2.94
95WW,33971,33509,33508,1,367,132,129,32,3,71,29,3,24,2,32,34,9265,9206,9206,0,42,17,11,4,0,10,3,1,2,0,2,12,11178,11063,11063,0,92,38,28,8,0,18,7,2,5,0,9,7,5925,5825,5825,0,78,34,28,1,1,14,8,0,8,0,9,5,5070,4957,4957,0,92,24,38,13,1,16,7,0,6,1,6,8,2533,2458,2457,1,63,19,24,6,1,13,4,0,3,1,6,2,2.45,2.44,2.44,6.00,3.17,2.98,3.30,3.44,4.33,3.13,3.24,1.67,3.33,4.50,3.22,2.44
95XX,33255,32838,32831,7,240,77,73,20,11,59,80,22,37,21,54,43,9992,9922,9917,5,23,7,7,1,1,7,17,7,3,7,15,15,11460,11367,11365,2,45,16,11,1,2,15,20,6,9,5,15,13,5296,5205,5205,0,61,21,19,1,1,19,18,1,14,3,8,4,4448,4346,4346,0,69,25,23,9,0,12,16,6,6,4,9,8,2059,1998,1998,0,42,8,13,8,7,6,9,2,5,2,7,3,2.33,2.32,2.32,1.29,3.35,3.19,3.34,4.50,4.45,2.95,2.75,2.55,3.03,2.48,2.59,2.37
95YY,18443,18320,18296,24,87,27,24,2,0,34,8,1,6,1,13,15,4892,4869,4862,7,17,6,6,0,0,5,0,0,0,0,0,6,4841,4810,4803,7,20,6,5,0,0,9,1,0,1,0,5,5,2899,2877,2876,1,19,7,6,0,0,6,1,0,1,0,2,0,2930,2900,2897,3,20,3,6,1,0,10,4,1,2,1,3,3,2881,2864,2858,6,11,5,1,1,0,4,2,0,2,0,3,1,2.76,2.76,2.76,2.88,2.90,2.89,2.63,5.00,0,2.97,4.00,4.00,4.00,4.00,3.38,2.20
95ZZ,14817,14733,14723,10,43,17,20,1,0,5,3,1,2,0,17,21,3981,3967,3964,3,6,3,3,0,0,0,2,1,1,0,2,4,4040,4014,4012,2,8,3,4,0,0,1,0,0,0,0,6,12,2504,2490,2490,0,6,2,3,0,0,1,0,0,0,0,5,3,2354,2336,2333,3,13,7,5,1,0,0,0,0,0,0,4,1,1938,1926,1924,2,10,2,5,0,0,3,1,0,1,0,0,1,2.67,2.67,2.67,3.50,3.44,3.12,3.35,4.00,0,4.80,2.33,1.00,3.00,0,2.65,2.19
