GeographyCode,DC2250NI0001,DC2250NI0002,DC2250NI0003,DC2250NI0004,DC2250NI0005,DC2250NI0006,DC2250NI0007,DC2250NI0008,DC2250NI0009,DC2250NI0010,DC2250NI0011,DC2250NI0012,DC2250NI0013,DC2250NI0014,DC2250NI0015,DC2250NI0016,DC2250NI0017,DC2250NI0018,DC2250NI0019,DC2250NI0020,DC2250NI0021,DC2250NI0022,DC2250NI0023,DC2250NI0024,DC2250NI0025,DC2250NI0026,DC2250NI0027,DC2250NI0028,DC2250NI0029,DC2250NI0030,DC2250NI0031,DC2250NI0032,DC2250NI0033,DC2250NI0034,DC2250NI0035,DC2250NI0036,DC2250NI0037,DC2250NI0038,DC2250NI0039,DC2250NI0040,DC2250NI0041,DC2250NI0042,DC2250NI0043,DC2250NI0044,DC2250NI0045
95QQ,32180,8003,21934,184,2059,6661,1760,4401,32,468,25866,6383,17734,142,1607,23300,4641,17068,129,1462,2357,1645,608,11,93,38,35,0,0,3,10,7,0,0,3,161,55,58,2,46,188,63,91,14,20
95RR,33536,20014,12625,103,794,8551,5319,2985,15,232,25234,14912,9691,77,554,18145,8374,9230,55,486,6842,6341,439,9,53,140,133,4,0,3,26,18,3,2,3,81,46,15,11,9,238,147,45,13,33
95SS,120165,43815,67197,1009,8144,18624,6866,10014,84,1660,103081,37800,58009,806,6466,80594,19342,54858,672,5722,20873,17417,2864,109,483,698,602,50,3,43,309,227,14,5,63,607,212,223,17,155,1283,418,517,181,167
95TT,45038,29728,14179,212,919,12085,7447,4343,37,258,33601,22863,9927,160,651,20343,10359,9359,142,483,12328,11750,501,13,64,420,407,3,0,10,238,195,20,3,20,272,152,44,2,74,288,206,38,24,20
95UU,17050,10155,6310,78,507,4669,2409,2080,16,164,12610,7959,4260,52,339,8626,4339,3976,36,275,3863,3535,262,14,52,52,46,1,1,4,17,15,1,0,1,52,24,20,1,7,117,53,28,19,17
95VV,99480,78953,17901,452,2174,18523,13889,4083,45,506,82283,66398,13963,294,1628,38285,24444,12703,175,963,40669,39218,1026,85,340,1745,1642,43,3,57,793,687,32,1,73,791,407,159,30,195,919,563,131,140,85
95WW,85139,19204,57688,1006,7241,12277,2237,8644,82,1314,73293,17331,49525,684,5753,63870,10499,47578,578,5215,8436,6112,1851,99,374,636,574,16,0,46,36,22,0,0,14,315,124,80,7,104,1105,224,284,283,314
95XX,78937,10681,57809,914,9533,9233,1015,6564,73,1581,70816,9788,52291,730,8007,64012,6947,49117,640,7308,5969,2393,2972,75,529,295,257,18,2,18,40,31,5,0,4,500,160,179,13,148,1189,329,484,176,200
95YY,51356,36122,14080,244,910,12586,8688,3615,41,242,39372,27986,10552,185,649,23352,13038,9771,138,405,14752,13943,680,37,92,602,591,1,2,8,124,110,2,0,12,542,304,98,8,132,456,337,48,35,36
95ZZ,39843,25871,13422,117,433,10571,6707,3709,10,145,29598,19447,9787,79,285,17465,8216,8999,47,203,11798,10967,747,31,53,187,174,6,0,7,12,9,1,0,2,136,81,34,1,20,207,110,40,41,16
